id	class	tree	name	code	official_id	req_level	max_level	req_skill	skill_points	mana_cost	mana_per_lvl	dmg_min	dmg_max	phys_min	phys_max	elem_min	elem_max	phys_min_lev1	phys_min_lev2	phys_min_lev3	phys_min_lev4	phys_min_lev5	phys_max_lev1	phys_max_lev2	phys_max_lev3	phys_max_lev4	phys_max_lev5	elem_min_lev1	elem_min_lev2	elem_min_lev3	elem_min_lev4	elem_min_lev5	elem_max_lev1	elem_max_lev2	elem_max_lev3	elem_max_lev4	elem_max_lev5	hit_shift	dmg_type	passive	missile	desc	src_dam	dmg_pct_calc	dmg_pct_desc	dmg_pct_base	dmg_pct_per_lvl	dmg_pct_parsed	missile_a	missile_b	missile_c
11	1	1	爆裂箭	Exploding Arrow	16	12	20	2	0	10	1	2	6	0	0	2	6	0	0	0	0	0	0	0	0	0	0	5	7	9	12	20	5	8	11	14	23	8	fire	0	explodingarrow	火焰伤害 2-6，法力 10（每级 +1），需求等级 12	128			0	0	1			
12	1	2	缓速投射	Slow Missiles	17	12	20	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 10（每级 +0），需求等级 12	0			0	0	1			
13	1	2	躲避	Avoid	18	12	20	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		1		被动技能，需求等级 12	0			0	0	1			
14	1	3	刺穿	Impale	19	12	20	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		武器伤害类攻击：武器伤害 ×128/128（官方 SrcDam）+ 伤害倍率 300%（每级 +25%），法力 3（每级 +0），需求等级 12	128	ln12	dm%	300	25	1			
15	1	3	闪电球	Lightning Bolt	20	12	20	10	0	24	1	1	40	0	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	18	28	48	88	8	ltng	0	lightningjavelin	闪电伤害 1-40，法力 24（每级 +1），需求等级 12	96			0	0	1			
16	1	1	冰箭	Ice Arrow	21	18	20	6	0	16	1	6	10	0	0	6	10	0	0	0	0	0	0	0	0	0	0	6	12	18	26	36	6	13	19	27	38	8	cold	0	icearrow	冰冷伤害 6-10，法力 16（每级 +1），需求等级 18	128			0	0	1			
17	1	1	导引箭	Guided Arrow	22	18	20	6	0	32	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		武器伤害类攻击：武器伤害 ×128/128（官方 SrcDam）+ 伤害倍率 0%（每级 +5%），法力 32（每级 -1），需求等级 18	128	ln34	+ dmg%	0	5	1	guidedarrow	guidedarrow	guidedarrow
18	1	2	穿透	Penetrate	23	18	20	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		1		被动技能，需求等级 18	0			0	0	1			
19	1	3	充能一击	Charged Strike	24	18	20	9	0	16	1	1	30	0	0	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16	20	24	28	8	ltng	0		闪电伤害 1-30，法力 16（每级 +1），需求等级 18	0	par1+lvl/par2	# bolts	0	0	1	chargedstrikebolt	chargedstrikebolt	chargedstrikebolt
20	1	3	瘟疫标枪	Plague Javelin	25	18	20	15	0	14	1	0	1	0	0	10	16	0	0	0	0	0	0	0	0	0	0	6	12	20	40	60	6	12	20	40	60	3	pois	0	plaguejavelin	毒素伤害 0-1，法力 14（每级 +1），需求等级 18	128			0	0	1			
21	1	1	扫射	Strafe	26	24	20	17	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		武器伤害类攻击：武器伤害 ×96/128（官方 SrcDam）+ 伤害倍率 0%（每级 +0%），法力 11（每级 +0），需求等级 24	96	min(par3 + lvl - 1, par4)	#missiles	0	0	1	strafearrow	strafebolt	
22	1	1	献祭之箭	Immolation Arrow	27	24	20	11	0	12	1	10	20	0	0	10	20	0	0	0	0	0	0	0	0	0	0	10	20	30	32	34	10	20	30	32	34	8	fire	0	immolationarrow	火焰伤害 10-20，法力 12（每级 +1），需求等级 24	128	par1	fire disc radius	0	0	1			
23	1	2	诱饵	Dopplezon	28	24	20	12	0	76	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 76（每级 -3），需求等级 24	0	lvl*par4	bonus hp%	0	0	1			
24	1	2	回避	Evade	29	24	20	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		1		被动技能，需求等级 24	0			0	0	1			
25	1	3	连击	Fend	30	24	20	14	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		武器伤害类攻击：武器伤害 ×128/128（官方 SrcDam）+ 伤害倍率 0%（每级 +0%），法力 5（每级 +0），需求等级 24	128	12	max targets	0	0	1			
26	1	1	冻结之箭	Freezing Arrow	31	30	20	16	0	18	1	40	50	0	0	40	50	0	0	0	0	0	0	0	0	0	0	10	15	20	22	24	10	15	20	22	24	8	cold	0	freezingarrow	冰冷伤害 40-50，法力 18（每级 +1），需求等级 30	128	par1	damage radius	0	0	1			
27	1	2	女武神	Valkyrie	32	30	20	23	0	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 25（每级 +1），需求等级 30	0	par1 * (lvl - 1) + skill('Dopplezon'.blvl) * par8	bonus hp%	0	0	1			
28	1	2	穿刺	Pierce	33	30	20	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		1		被动技能，需求等级 30	0			0	0	1			
29	1	3	闪电击	Lightning Strike	34	30	20	19	0	9	0	1	25	0	0	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	15	20	25	30	8	ltng	0		闪电伤害 1-25，法力 9（每级 +0），需求等级 30	0	20	radius	0	0	1	lightningstrike	lightningstrike	lightningstrike
30	1	3	闪电之怒	Lightning Fury	35	30	20	20	0	20	1	1	40	0	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	30	40	50	50	8	ltng	0	lightningfury	闪电伤害 1-40，法力 20（每级 +1），需求等级 30	128	ln12	num targets	0	0	1			
31	2	1	火弹	Fire Bolt	36	1	20	0	0	5	0	3	6	0	0	6	12	0	0	0	0	0	0	0	0	0	0	3	4	8	18	54	3	6	10	20	56	7	fire	0	firebolt	火焰伤害 3-6，法力 5（每级 +0），需求等级 1	0			0	0	1			
32	2	1	温暖	Warmth	37	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	fire	1		被动技能，需求等级 1	0			0	0	1			
33	2	2	充能弹	Charged Bolt	38	1	20	0	0	24	4	2	4	0	0	4	8	0	0	0	0	0	0	0	0	0	0	1	1	2	3	4	1	1	2	3	4	7	ltng	0		闪电伤害 2-4，法力 24（每级 +4），需求等级 1	0	min(24,ln12)	# bolts	0	0	1	chargedbolt	chargedbolt	chargedbolt
34	2	3	冰弹	Ice Bolt	39	1	20	0	0	3	0	3	5	0	0	6	10	0	0	0	0	0	0	0	0	0	0	2	4	6	8	10	3	5	7	9	11	7	cold	0	icebolt	冰冷伤害 3-5，法力 3（每级 +0），需求等级 1	0			0	0	1			
35	2	3	冻结护甲	Frozen Armor	40	1	20	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 7（每级 +0），需求等级 1	0	ln56*(100+((skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par8))/100	freeze length	0	0	1			
36	2	1	炼狱之火	Inferno	41	6	20	0	0	36	1	1	1	0	0	32	64	0	0	0	0	0	0	0	0	0	0	24	26	28	32	36	24	27	29	33	37	2	fire	0		火焰伤害 1-1，法力 36（每级 +1），需求等级 6	0	ln12/2	range	0	0	1	infernoflame1	infernoflame1	infernoflame1
37	2	2	静电力场	Static Field	42	6	20	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	ltng	0		辅助技能，法力 9（每级 +0），需求等级 6	0	par4	damage %	0	0	0			
38	2	2	心灵传动	Telekinesis	43	6	20	0	0	7	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	8	ltng	0		闪电伤害 1-2，法力 7（每级 +0），需求等级 6	0			0	0	1			
39	2	3	霜之新星	Frost Nova	44	6	20	0	0	9	1	2	4	0	0	4	8	0	0	0	0	0	0	0	0	0	0	4	6	8	10	12	5	7	9	11	13	7	cold	0		冰冷伤害 2-4，法力 9（每级 +1），需求等级 6	0			0	0	1	frostnova	frostnova	frostnova
40	2	3	冰爆	Ice Blast	45	6	20	34	0	12	1	8	12	0	0	16	24	0	0	0	0	0	0	0	0	0	0	14	28	42	56	70	15	29	43	57	71	7	cold	0	iceblast	冰冷伤害 8-12，法力 12（每级 +1），需求等级 6	0			0	0	1			
41	2	1	火焰之径	Blaze	46	12	20	36	0	22	1	0	1	0	0	4	8	0	0	0	0	0	0	0	0	0	0	2	3	4	6	9	2	3	4	6	9	4	fire	0	blaze	火焰伤害 0-1，法力 22（每级 +1），需求等级 12	0			0	0	1	blaze	blaze	blaze
42	2	1	火球	Fire Ball	47	12	20	31	0	10	1	6	14	0	0	12	28	0	0	0	0	0	0	0	0	0	0	13	23	28	33	38	15	25	30	35	40	7	fire	0	fireball	火焰伤害 6-14，法力 10（每级 +1），需求等级 12	0			0	0	1			
43	2	2	新星	Nova	48	12	20	37	0	15	1	1	20	0	0	1	20	0	0	0	0	0	0	0	0	0	0	6	7	8	9	10	8	9	10	11	12	8	ltng	0		闪电伤害 1-20，法力 15（每级 +1），需求等级 12	0			0	0	1	nova	nova	nova
44	2	2	闪电	Lightning	49	12	20	33	0	16	1	1	40	0	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	20	28	36	8	ltng	0	lightningbolt	闪电伤害 1-40，法力 16（每级 +1），需求等级 12	0			0	0	1			
45	2	3	寒颤护甲	Shiver Armor	50	12	20	40	0	11	0	6	8	0	0	12	16	0	0	0	0	0	0	0	0	0	0	4	6	8	10	12	5	7	9	11	13	7	cold	0		冰冷伤害 6-8，法力 11（每级 +0），需求等级 12	0			0	0	1			
46	2	1	火墙	Fire Wall	51	18	20	41	0	22	1	1	1	0	0	15	20	0	0	0	0	0	0	0	0	0	0	9	14	21	21	21	9	14	21	21	21	4	fire	0		火焰伤害 1-1，法力 22（每级 +1），需求等级 18	0			0	0	1	firewallmaker	firewall	
47	2	1	附魔	Enchant	52	18	20	32	0	25	1	8	10	0	0	16	20	0	0	0	0	0	0	0	0	0	0	3	7	11	15	19	5	9	13	17	21	7	fire	0		火焰伤害 8-10，法力 25（每级 +1），需求等级 18	0			0	0	1			
48	2	2	连锁闪电	Chain Lightning	53	18	20	44	0	9	1	1	40	0	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	15	15	15	8	ltng	0		闪电伤害 1-40，法力 9（每级 +1），需求等级 18	0	ln34 / 5	# hits	0	0	1	chainlightning	chainlightning	chainlightning
49	2	2	传送	Teleport	54	18	20	38	0	24	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 24（每级 -1），需求等级 18	0			0	0	1			
50	2	3	冰川尖刺	Glacial Spike	55	18	20	40	0	20	1	16	24	0	0	32	48	0	0	0	0	0	0	0	0	0	0	14	26	28	30	32	15	27	29	31	33	7	cold	0	glacialspike	冰冷伤害 16-24，法力 20（每级 +1），需求等级 18	0			0	0	1			
51	2	1	陨石	Meteor	56	24	20	42	0	34	1	80	100	0	0	80	100	0	0	0	0	0	0	0	0	0	0	23	39	79	81	83	25	41	81	83	85	8	fire	0		火焰伤害 80-100，法力 34（每级 +1），需求等级 24	0	ln12	radius	0	0	1	meteorcenter	meteorcenter	meteorcenter
52	2	2	雷云风暴	Thunder Storm	57	24	20	43	0	19	0	1	100	0	0	1	100	0	0	0	0	0	0	0	0	0	0	10	10	11	11	11	10	10	11	11	11	8	ltng	0		闪电伤害 1-100，法力 19（每级 +0），需求等级 24	0			0	0	1	thunderstorm1		
53	2	2	能量护盾	Energy Shield	58	24	20	49	0	5	0	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	5	2	1	1	1	0	0	0	0	0	8	phys	0		辅助技能，法力 5（每级 +0），需求等级 24	0	min(edmn,95)	damage absorption	0	0	1			
54	2	3	暴风雪	Blizzard	59	24	20	39	0	23	1	45	75	0	0	45	75	0	0	0	0	0	0	0	0	0	0	15	30	45	55	65	16	31	46	56	66	8	cold	0		冰冷伤害 45-75，法力 23（每级 +1），需求等级 24	0	par1	radius	0	0	1	blizzardcenter	blizzardcenter	blizzardcenter
55	2	3	冰冷护甲	Chilling Armor	60	24	20	45	0	17	0	4	6	0	0	8	12	0	0	0	0	0	0	0	0	0	0	2	4	6	8	10	3	5	7	9	11	7	cold	0		冰冷伤害 4-6，法力 17（每级 +0），需求等级 24	0			0	0	1	chillingarmorbolt		
56	2	1	火焰精通	Fire Mastery	61	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	fire	1		被动技能，需求等级 30	0			0	0	1			
57	2	1	多头蛇	Hydra	62	30	20	47	0	40	1	12	17	0	0	24	34	0	0	0	0	0	0	0	0	0	0	9	13	17	21	25	11	15	19	23	27	7	fire	0		火焰伤害 12-17，法力 40（每级 +1），需求等级 30	0			0	0	1			
58	2	2	闪电精通	Lightning Mastery	63	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		1		被动技能，需求等级 30	0			0	0	1			
59	2	3	冰霜宝珠	Frozen Orb	64	30	20	54	0	50	1	40	45	0	0	80	90	0	0	0	0	0	0	0	0	0	0	20	24	28	29	30	21	25	29	30	31	7	cold	0	frozenorb	冰冷伤害 40-45，法力 50（每级 +1），需求等级 30	0			0	0	1			
60	2	3	冰冷精通	Cold Mastery	65	30	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		1		被动技能，需求等级 30	0			0	0	1			
61	3	1	伤害加深	Amplify Damage	66	1	20	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 4（每级 +0），需求等级 1	0			0	0	1			
62	3	2	牙	Teeth	67	1	20	0	0	6	1	2	4	0	0	4	8	0	0	0	0	0	0	0	0	0	0	2	2	3	4	5	2	3	4	5	6	7	mag	0		魔法伤害 2-4，法力 6（每级 +1），需求等级 1	0	min(ln12,24)	# missiles	0	0	1	teeth		
63	3	2	白骨护甲	Bone Armor	68	1	20	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 11（每级 +1），需求等级 1	0			0	0	1			
64	3	3	骷髅精通	Skeleton Mastery	69	1	20	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		1		被动技能，需求等级 1	0			0	0	1			
65	3	3	召唤骷髅	Raise Skeleton	70	1	20	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4	0	0	0	0	0	8		0		辅助技能，法力 6（每级 +1），需求等级 1	0	(lvl < 4) ? 0 : (par2 * (lvl - 3))	hp % adjustment	0	0	1			
66	3	1	微暗灵视	Dim Vision	71	6	20	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 9（每级 +0），需求等级 6	0			0	0	1			
67	3	1	削弱	Weaken	72	6	20	61	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 4（每级 +0），需求等级 6	0			0	0	1			
68	3	2	淬毒匕首	Poison Dagger	73	6	20	0	0	12	1	0	0	0	0	18	40	0	0	0	0	0	0	0	0	0	0	10	15	20	23	26	10	15	20	23	26	1	pois	0		武器伤害类攻击：武器伤害 ×128/128（官方 SrcDam）+ 伤害倍率 0%（每级 +0%），法力 12（每级 +1），需求等级 6	128			0	0	1			
69	3	2	尸爆	Corpse Explosion	74	6	20	62	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	fire	0		辅助技能，法力 15（每级 +1），需求等级 6	0	par1	% target hp min damage	0	0	1			
70	3	3	黏土石魔	Clay Golem	75	6	20	0	0	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 15（每级 +3），需求等级 6	0	(100+(par1 * (lvl - 1)))*(100+skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8)))/100-100	hp % adjustment	0	0	1			
71	3	1	铁娘子	Iron Maiden	76	12	20	61	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 5（每级 +0），需求等级 12	0	ln56	% damage to return	0	0	1			
72	3	1	恐惧	Terror	77	12	20	67	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 7（每级 +0），需求等级 12	0			0	0	1			
73	3	2	骨墙	Bone Wall	78	12	20	63	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 17（每级 +0），需求等级 12	0	(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Prison'.blvl))*par8)	hp % adjustment	0	0	1	bonewallmaker		
74	3	3	石魔精通	Golem Mastery	79	12	20	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		1		被动技能，需求等级 12	0			0	0	1			
75	3	3	召唤骷髅法师	Raise Skeletal Mage	80	12	20	65	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 8（每级 +1），需求等级 12	0	(lvl < 4) ? 0 : (par2 * (lvl - 3))	hp % adjustment	0	0	1			
76	3	1	迷乱	Confuse	81	18	20	66	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 13（每级 +0），需求等级 18	0			0	0	1			
77	3	1	偷取生命	Life Tap	82	18	20	71	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 9（每级 +0），需求等级 18	0	ln56	hp % returned	0	0	1			
78	3	2	剧毒爆裂	Poison Explosion	83	18	20	68	0	8	0	1	2	0	0	8	24	0	0	0	0	0	0	0	0	0	0	2	4	6	8	10	2	4	6	8	10	4	pois	0		毒素伤害 1-2，法力 8（每级 +0），需求等级 18	0			0	0	1	poisonexplosioncloud		
79	3	2	骨矛	Bone Spear	84	18	20	69	0	28	1	16	24	0	0	16	24	0	0	0	0	0	0	0	0	0	0	8	9	12	18	24	8	9	13	19	25	8	mag	0	bonespear	魔法伤害 16-24，法力 28（每级 +1），需求等级 18	0			0	0	1			
80	3	3	鲜血石魔	BloodGolem	85	18	20	70	0	25	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 25（每级 +4），需求等级 18	0	skill('Golem Mastery'.ln12)	hp % adjustment	0	0	1			
81	3	1	吸引	Attract	86	24	20	76	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 17（每级 +0），需求等级 24	0			0	0	1			
82	3	1	衰老	Decrepify	87	24	20	72	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 11（每级 +0），需求等级 24	0			0	0	1			
83	3	2	白骨囚牢	Bone Prison	88	24	20	73	0	27	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 27（每级 -1），需求等级 24	0	(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl))*par8)	hp % adjustment	0	0	1			
84	3	3	召唤抵抗	Summon Resist	89	24	20	74	0	44	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		1		被动技能，需求等级 24	0			0	0	1			
85	3	3	钢铁石魔	IronGolem	90	24	20	80	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 35（每级 +0），需求等级 24	0	skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8))	hp % adjustment	0	0	1			
86	3	1	降低抵抗	Lower Resist	91	30	20	77	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 22（每级 +0），需求等级 30	0			0	0	1			
87	3	2	剧毒新星	Poison Nova	92	30	20	78	0	20	0	1	2	0	0	14	25	0	0	0	0	0	0	0	0	0	0	4	5	8	12	14	4	5	8	12	14	4	pois	0		毒素伤害 1-2，法力 20（每级 +0），需求等级 30	0			0	0	1	poisonnova		
88	3	2	骨魂	Bone Spirit	93	30	20	79	0	24	1	20	30	0	0	20	30	0	0	0	0	0	0	0	0	0	0	16	17	18	19	20	17	18	19	20	21	8	mag	0		魔法伤害 20-30，法力 24（每级 +1），需求等级 30	0	0	+ dmg%	0	0	0	bonespirit	bonespirit	
89	3	3	火焰石魔	FireGolem	94	30	20	85	0	50	10	10	27	0	0	10	27	0	0	0	0	0	0	0	0	0	0	9	10	11	12	13	10	11	12	13	14	8	fire	0		火焰伤害 10-27，法力 50（每级 +10），需求等级 30	0	skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8))	hp % adjustment	0	0	1			
90	3	3	复活	Revive	95	30	20	75	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 45（每级 +0），需求等级 30	0	par1+skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par3)	hp % adjustment	0	0	1			
91	4	1	牺牲	Sacrifice	96	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		武器伤害类攻击：武器伤害 ×128/128（官方 SrcDam）+ 伤害倍率 180%（每级 +15%），法力 0（每级 +0），需求等级 1	128	ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7	damage %	180	15	1			
92	4	1	重击	Smite	97	1	20	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 2（每级 +0），需求等级 1	0	ln34	damage %	15	15	1			
93	4	2	力量	Might	98	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8		0		辅助技能，法力 0（每级 +0），需求等级 1	0			0	0	1			
94	4	3	祈祷	Prayer	99	1	20	0	0	16	3	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	3	0	0	0	0	0	8	phys	0		辅助技能，法力 16（每级 +3），需求等级 1	0			0	0	1			
