grid	state	category	expectation	screenshot	show_this_number	log_evidence(verbatim)	script_verdict
G11	walk N (north)	presentation	the sprite really faces the walked direction: logical Dir == N AND the frame key is walk_n_* (the direction mapping that used to be off by one step)	Assets/Screenshots/p41_09_dir_n.png	DIR-SHOT n=2 tile=p41_09_dir_n.png want=N dir=N dirOk=1 key=D2/Chars/amazon/run_n_1 keyOk=1 sprite=run_n_1 spriteOk=1 moving=1 grid=(34,34) anim=Run k	[2026-09-20 01:08:41.683] [Info] [P41] DIR-SHOT n=2 tile=p41_09_dir_n.png want=N dir=N dirOk=1 key=D2/Chars/amazon/run_n_1 keyOk=1 sprite=run_n_1 spriteOk=1 moving=1 grid=(34,34) anim=Run key=D2/Chars/amazon/run_n_1 frame=1/8 baseFps=24 speedScale=1 loop=True || [2026-09-20 01:08:41.678] [Info] [P41] SHOT-OK n=21 state=dir-N name=p41_09_dir_n.png kind=camera bytes=1080604 path=C:/Work/Server/full-dev/clover-project-diablo2/.ai-tmp/test/raw/p41_09_dir_n.png	PASS
G12	walk E (east)	presentation	the sprite really faces the walked direction: logical Dir == E AND the frame key is walk_e_* (the direction mapping that used to be off by one step)	Assets/Screenshots/p41_10_dir_e.png	DIR-SHOT n=3 tile=p41_10_dir_e.png want=E dir=E dirOk=1 key=D2/Chars/amazon/run_e_7 keyOk=1 sprite=run_e_7 spriteOk=1 moving=1 grid=(38,34) anim=Run k	[2026-09-20 01:08:43.040] [Info] [P41] DIR-SHOT n=3 tile=p41_10_dir_e.png want=E dir=E dirOk=1 key=D2/Chars/amazon/run_e_7 keyOk=1 sprite=run_e_7 spriteOk=1 moving=1 grid=(38,34) anim=Run key=D2/Chars/amazon/run_e_7 frame=7/8 baseFps=24 speedScale=1 loop=True || [2026-09-20 01:08:43.033] [Info] [P41] SHOT-OK n=22 state=dir-E name=p41_10_dir_e.png kind=camera bytes=1105948 path=C:/Work/Server/full-dev/clover-project-diablo2/.ai-tmp/test/raw/p41_10_dir_e.png	PASS
G13	walk W (west)	presentation	the sprite really faces the walked direction: logical Dir == W AND the frame key is walk_w_* (the direction mapping that used to be off by one step)	Assets/Screenshots/p41_11_dir_w.png	DIR-SHOT n=4 tile=p41_11_dir_w.png want=W dir=W dirOk=1 key=D2/Chars/amazon/run_w_7 keyOk=1 sprite=run_w_7 spriteOk=1 moving=1 grid=(34,38) anim=Run k	[2026-09-20 01:08:44.379] [Info] [P41] DIR-SHOT n=4 tile=p41_11_dir_w.png want=W dir=W dirOk=1 key=D2/Chars/amazon/run_w_7 keyOk=1 sprite=run_w_7 spriteOk=1 moving=1 grid=(34,38) anim=Run key=D2/Chars/amazon/run_w_7 frame=7/8 baseFps=24 speedScale=1 loop=True || [2026-09-20 01:08:44.372] [Info] [P41] SHOT-OK n=23 state=dir-W name=p41_11_dir_w.png kind=camera bytes=1091980 path=C:/Work/Server/full-dev/clover-project-diablo2/.ai-tmp/test/raw/p41_11_dir_w.png	PASS
N1	camera framing	numeric(log/assert)	CameraRig.OrthographicSize == 3.75 and the camera really carries it; visible height == 2x3.75 == 7.5 world units == 7.5 grid rows (1 grid = 1 unit)	(numeric row: no tile)	ortho rig=3.75 cam=3.75 visibleWorldH=7.5 aspect=1.7778	[2026-09-20 01:08:16.307] [Info] [P41] OSIZE rigValue=3.75 camValue=3.75 visibleWorldH=7.5 tileSize=1 visibleGridRows=7.5 aspect=1.7778 camPos=(4.00,-30.50) playerWorld=(4.00,-30.50)	PASS
N2	walk/run constants	numeric(log/assert)	GameConst.PlayerWalkSpeed == 3.0 and PlayerWalkSpeedFactor == 7/15 (walk 1.4 cells/s)	(numeric row: no tile)	walkSpeed=3.0 factor=0.46667 => walk=1.4 cells/s	[2026-09-20 01:08:16.314] [Info] [P41] SPEEDCONST PlayerWalkSpeed=3 walkFactor=0.46667 walkSpeedDerived=1.4 playerMoveSpeed=3 running=1	PASS
N3	measured walk/run speed	numeric(log/assert)	3 s straight-line displacement == run 3.0 cells/s, walk 1.4 cells/s (movingFrames == totalFrames, measured in cell space)	(numeric row: no tile)	run=3.022 (exp 3.000) walk=1.427 (exp 1.400) movingFramesFull=True	[2026-09-20 01:08:35.259] [Info] [P41] SPEED mode=run cells=9.084 secs=3.006 speed=3.022 expect=3.000 worldUnits=6.669 cellSpace=1 movingFrames=40/40 cellSize=1 || [2026-09-20 01:08:38.842] [Info] [P41] SPEED mode=walk cells=4.353 secs=3.051 speed=1.427 expect=1.400 worldUnits=6.156 cellSpace=1 movingFrames=40/40 cellSize=1	PASS
N4	animation frame rate	numeric(log/assert)	effective sprite frame rate == frames x cells/s: run 8x3.0 = 24 fps, walk 8x1.4 = 11.2 fps (one animation cycle per grid cell)	(numeric row: no tile)	run eff=24.0 meas=24.62 | walk eff=11.2 meas=12.78	[2026-09-20 01:08:35.267] [Info] [P41] ANIM-RUN anim=Run frames=8 baseFps=24.00 speedScale=1.000 effFps=24.00 measuredFrameAdvancePerSec=24.62 anim=Run key=D2/Chars/amazon/run_se_6 frame=6/8 baseFps=24 speedScale=1 loop=True sprite=run_se_6 || [2026-09-20 01:08:38.849] [Info] [P41] ANIM-WALK anim=Walk frames=8 baseFps=12.00 speedScale=0.933 effFps=11.20 measuredFrameAdvancePerSec=12.78 anim=Walk key=D2/Chars/amazon/walk_e_2 frame=2/8 baseFps=12 speedScale=0.9333333 loop=True sprite=walk_e_2	PASS
N5	map sizes	numeric(log/assert)	town == 56x40 (Levels.txt 'Act 1 - Town'), wilderness == FIXED 80x80 (Levels.txt 'Act 1 - Wilderness 1'; it used to be a random 48..80)	(numeric row: no tile)	town=56.0x40.0 wild=80.0x80.0	[2026-09-20 01:08:16.303] [Info] [P41] TOWN area=Town map=56x40 seed=347295864 spawn=(32,28) walkable=1528 blocked=712 exits=[(17,26),(17,27),(17,28)] npcPoints=5 || [2026-09-20 01:08:29.225] [Info] [P41] WILD area=BloodMoor map=80x80 seed=511126015 spawn=(1,52) walkable=4568 blocked=1832 exits=[(0,52),(79,36)] caveEntrance=(79,36) monsterSpawnPoints=0	PASS
N6	wilderness monster density	numeric(log/assert)	AliveCount is around the per-cell sampling expectation walkable x 520/100000 x 1.83 (~41.9) - the old 'packs' reading gave ~17	(numeric row: no tile)	alive=39.0 expected=43.5 walkable=4568.0 | in one screen=0.0 within20=4.0	[2026-09-20 01:08:29.225] [Info] [P41] MONSTERS aliveCount=39 aliveRows=39 rows=39 inOneScreen=0 within20Cells=4 walkable=4568 expectedFromMonDen=43.5 formula=walkable*520/100000*1.83	PASS
N7	exit cells + tiles	numeric(log/assert)	the exit cells (17,26)/(17,27)/(17,28) are TileKind.Exit and carry the ORIGINAL ground tiles town_floor/035|054|052 with an empty object layer	(numeric row: no tile)	EXITTILE g=(17,26) kind=Exit keysAvailable=1 ground=town_floor/035 object=(none) || EXITTILE g=(17,27) kind=Exit keysAvailable=1 ground=town_floor/054 object=(none) || EXITTILE g=(17,28) kind=Exit keysAvailable=1 ground=town_floor/052 object=(none)	[2026-09-20 01:08:16.332] [Info] [P41] EXITTILE g=(17,26) kind=Exit keysAvailable=1 ground=town_floor/035 object=(none) || [2026-09-20 01:08:16.334] [Info] [P41] EXITTILE g=(17,27) kind=Exit keysAvailable=1 ground=town_floor/054 object=(none) || [2026-09-20 01:08:16.336] [Info] [P41] EXITTILE g=(17,28) kind=Exit keysAvailable=1 ground=town_floor/052 object=(none)	PASS
N8	session hygiene	numeric(log/assert)	whole session: consoleErrors == 0, no step timeouts, player alive, camera ortho restored to 3.75, driver verdict ok=1	(numeric row: no tile)	log-pattern-miss[\[P41\] VERDICT ok=1 ]  consoleErrors=0 verdictOk=False failed-checks=ok,menu-items	[2026-09-20 01:08:44.457] [Info] [P41] FINISH why=end step=37 shots=11 timeoutAt=(none) playerDead=0 rigOrthoNow=3.75 camOrthoNow=3.75 step=37 fsm=Stage scene=Stage area=BloodMoor map=80x80 grid=(34,38) dir=W moving=0 running=1 t=37.40	FAIL
