id	name	code	official_id	speed	max_vel	accel	radius	range	dmg_min	dmg_max	elem_min	elem_max	dmg_type	light	cel_file	collide_type	next_hit	next_delay	sub_missile	used_by
33	魔法箭	magicarrow	27	24	24	0	1	40	0	0	0	0	mag	3	SafeArrow	3	0	0		技能 Magic Arrow.srvmissile
34	多重箭	multipleshotarrow	213	24	24	0	1	50	0	0	0	0		0	Arrow	3	1	4		技能 Multiple Shot.srvmissilea
35	多重弩箭	multipleshotbolt	214	24	24	0	1	50	0	0	0	0		0	XBowBolt	3	1	4		技能 Multiple Shot.srvmissileb
36	新星	nova	90	24	24	-1000	1	13	0	0	0	0		0	ElectricNova	3	1	4		技能 Nova.srvmissilea
37	毒标枪	poisonjav	38	24	24	0	1	25	0	0	0	0		0	Javelin	3	0	0	poisonjavcloud	技能 Poison Javelin.srvmissile
38	红光	redlightmissile	151	0	0	0	0	10	0	0	0	0		5	null	0	0	0		技能 Corpse Explosion.cltmissilec
39	吼叫	shout	149	30	30	-500	1	15	0	0	0	0		0	BAYellShockWave01	3	0	0		技能 Shout.srvmissilea
40	闪光	sparkle	212	4	4	0	1	30	0	0	2	6	pois	0	Gleam	3	0	0		技能 Shiver Armor.cltmissilea
41	尖刺	spike1	7	10	10	0	1	40	1	2	0	0		0	SpikeFiendMissle	3	0	0		怪物 quillrat1.MissA2
42	牙	teeth	114	16	16	0	1	50	0	0	0	0		3	teethMissile	3	1	4		技能 Teeth.srvmissilea
