源表	区域	路径	层	素材键	判决	明细
map	Town	MapView.floor	floor	moor_river/012	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/013	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/014	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/015	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/016	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/017	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/018	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/019	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/020	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/021	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/022	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/023	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/024	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/025	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/026	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/027	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/029	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/033	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/034	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/035	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/036	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/037	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/038	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/039	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/040	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/041	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/042	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/043	ok	在盘/160x128
map	Town	MapView.floor	floor	moor_river/044	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/000	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/001	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/002	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/003	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/004	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/016	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/018	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/028	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/035	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/045	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/046	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/050	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/051	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/052	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/053	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/054	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/055	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/060	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/061	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/062	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/063	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/065	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/068	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/069	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/070	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/071	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/072	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/091	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/104	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/108	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/109	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/111	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/119	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/120	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/124	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/127	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/128	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/129	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/130	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/131	ok	在盘/160x128
map	Town	MapView.floor	floor	town_floor/139	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/059	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/060	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/061	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/062	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/063	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/064	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/065	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/066	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/067	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/070	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/071	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/072	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/073	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/074	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/075	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/076	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/077	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/078	ok	在盘/160x128
map	Town	MapView.floor	floor	town_objects/079	ok	在盘/160x128
map	Town	MapView.object	object	moor_bridge/000	ok	在盘/128x160
map	Town	MapView.object	object	moor_bridge/001	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/002	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/003	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/004	ok	在盘/128x160
map	Town	MapView.object	object	moor_bridge/005	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/006	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/007	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/008	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/009	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/010	ok	在盘/160x224
map	Town	MapView.object	object	moor_bridge/011	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/012	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/013	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/014	ok	在盘/160x160
map	Town	MapView.object	object	moor_bridge/015	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/016	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/017	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/018	ok	在盘/160x192
map	Town	MapView.object	object	moor_bridge/019	ok	在盘/160x160
map	Town	MapView.object	object	moor_objects/039	ok	在盘/160x160
map	Town	MapView.object	object	moor_river/028	FLAT(已处置:白名单)	在盘/160x128
map	Town	MapView.object	object	moor_stonewall/029	ok	在盘/128x160
map	Town	MapView.object	object	moor_stonewall/031	ok	在盘/160x160
map	Town	MapView.object	object	moor_stonewall/038	ok	在盘/128x160
map	Town	MapView.object	object	moor_stonewall/041	ok	在盘/128x160
map	Town	MapView.object	object	moor_stonewall/044	ok	在盘/160x160
map	Town	MapView.object	object	moor_stonewall/046	ok	在盘/96x128
map	Town	MapView.object	object	moor_stonewall/047	ok	在盘/160x160
map	Town	MapView.object	object	moor_stonewall/048	ok	在盘/128x160
map	Town	MapView.object	object	moor_stonewall/049	ok	在盘/160x160
map	Town	MapView.object	object	moor_stonewall/050	ok	在盘/160x160
map	Town	MapView.object	object	moor_stonewall/051	ok	在盘/128x160
map	Town	MapView.object	object	moor_trees/000	ok	在盘/96x352
map	Town	MapView.object	object	moor_trees/001	ok	在盘/160x384
map	Town	MapView.object	object	moor_trees/002	ok	在盘/160x320
map	Town	MapView.object	object	moor_trees/003	ok	在盘/96x352
map	Town	MapView.object	object	moor_trees/004	ok	在盘/160x352
map	Town	MapView.object	object	moor_trees/005	ok	在盘/160x320
map	Town	MapView.object	object	moor_trees/006	ok	在盘/96x384
map	Town	MapView.object	object	moor_trees/007	ok	在盘/160x480
map	Town	MapView.object	object	moor_trees/008	ok	在盘/160x448
map	Town	MapView.object	object	moor_trees/009	ok	在盘/160x384
map	Town	MapView.object	object	moor_trees/010	ok	在盘/160x384
map	Town	MapView.object	object	moor_trees/011	ok	在盘/96x384
map	Town	MapView.object	object	moor_trees/012	ok	在盘/96x384
map	Town	MapView.object	object	moor_trees/013	ok	在盘/160x416
map	Town	MapView.object	object	moor_trees/014	ok	在盘/160x384
map	Town	MapView.object	object	moor_trees/015	ok	在盘/64x352
map	Town	MapView.object	object	moor_trees/016	ok	在盘/160x416
map	Town	MapView.object	object	moor_trees/017	ok	在盘/160x384
map	Town	MapView.object	object	moor_trees/018	ok	在盘/96x416
map	Town	MapView.object	object	moor_trees/019	ok	在盘/160x448
map	Town	MapView.object	object	moor_trees/020	ok	在盘/160x448
map	Town	MapView.object	object	town_fence/000	ok	在盘/128x256
map	Town	MapView.object	object	town_fence/001	ok	在盘/128x256
map	Town	MapView.object	object	town_fence/002	ok	在盘/128x288
map	Town	MapView.object	object	town_fence/003	ok	在盘/160x256
map	Town	MapView.object	object	town_fence/004	ok	在盘/160x288
map	Town	MapView.object	object	town_fence/005	ok	在盘/160x288
map	Town	MapView.object	object	town_fence/006	ok	在盘/160x288
map	Town	MapView.object	object	town_fence/008	ok	在盘/160x288
map	Town	MapView.object	object	town_fence/009	ok	在盘/128x256
map	Town	MapView.object	object	town_fence/010	ok	在盘/128x256
map	Town	MapView.object	object	town_fence/011	ok	在盘/128x288
map	Town	MapView.object	object	town_fence/012	ok	在盘/160x256
map	Town	MapView.object	object	town_fence/013	ok	在盘/160x288
map	Town	MapView.object	object	town_fence/015	ok	在盘/128x288
map	Town	MapView.object	object	town_fence/016	ok	在盘/128x256
map	Town	MapView.object	object	town_fence/017	ok	在盘/128x288
map	Town	MapView.object	object	town_fence/018	ok	在盘/160x256
map	Town	MapView.object	object	town_fence/019	ok	在盘/160x288
map	Town	MapView.object	object	town_fence/020	ok	在盘/160x288
map	Town	MapView.object	object	town_fence/021	ok	在盘/128x256
map	Town	MapView.object	object	town_fence/022	ok	在盘/128x256
map	Town	MapView.object	object	town_fence/023	ok	在盘/128x288
map	Town	MapView.object	object	town_fence/024	ok	在盘/160x256
map	Town	MapView.object	object	town_fence/025	ok	在盘/160x288
map	Town	MapView.object	object	town_fence/026	ok	在盘/160x288
map	Town	MapView.object	object	town_fence/029	ok	在盘/160x256
map	Town	MapView.object	object	town_fence/030	ok	在盘/160x256
map	Town	MapView.object	object	town_objects/000	ok	在盘/160x160
map	Town	MapView.object	object	town_objects/001	ok	在盘/160x192
map	Town	MapView.object	object	town_objects/002	ok	在盘/160x160
map	Town	MapView.object	object	town_objects/003	ok	在盘/128x160
map	Town	MapView.object	object	town_objects/004	ok	在盘/160x256
map	Town	MapView.object	object	town_objects/005	ok	在盘/160x224
map	Town	MapView.object	object	town_objects/006	ok	在盘/160x192
map	Town	MapView.object	object	town_objects/008	ok	在盘/128x224
map	Town	MapView.object	object	town_objects/009	ok	在盘/96x288
map	Town	MapView.object	object	town_objects/010	ok	在盘/96x288
map	Town	MapView.object	object	town_objects/011	ok	在盘/96x256
map	Town	MapView.object	object	town_objects/012	ok	在盘/96x192
map	Town	MapView.object	object	town_objects/013	ok	在盘/160x160
map	Town	MapView.object	object	town_objects/015	ok	在盘/160x224
map	Town	MapView.object	object	town_objects/017	ok	在盘/160x256
map	Town	MapView.object	object	town_objects/018	ok	在盘/128x128
map	Town	MapView.object	object	town_objects/019	ok	在盘/160x192
map	Town	MapView.object	object	town_objects/021	ok	在盘/128x128
map	Town	MapView.object	object	town_objects/022	ok	在盘/160x192
map	Town	MapView.object	object	town_objects/023	ok	在盘/160x224
map	Town	MapView.object	object	town_objects/024	ok	在盘/160x224
map	Town	MapView.object	object	town_objects/025	ok	在盘/160x192
map	Town	MapView.object	object	town_objects/026	ok	在盘/128x192
map	Town	MapView.object	object	town_objects/027	ok	在盘/160x160
map	Town	MapView.object	object	town_objects/028	ok	在盘/128x160
map	Town	MapView.object	object	town_objects/035	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/036	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/037	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/038	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/039	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/040	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/041	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/042	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/043	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/044	ok	在盘/128x128
map	Town	MapView.object	object	town_objects/045	ok	在盘/160x192
map	Town	MapView.object	object	town_objects/046	ok	在盘/160x192
map	Town	MapView.object	object	town_objects/047	ok	在盘/128x192
map	Town	MapView.object	object	town_objects/048	ok	在盘/128x192
map	Town	MapView.object	object	town_objects/049	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/050	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/051	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/052	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/053	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/054	ok	在盘/128x128
map	Town	MapView.object	object	town_objects/055	ok	在盘/160x192
map	Town	MapView.object	object	town_objects/056	ok	在盘/160x288
map	Town	MapView.object	object	town_objects/057	ok	在盘/160x288
map	Town	MapView.object	object	town_objects/058	ok	在盘/160x256
map	Town	MapView.object	object	town_objects/068	ok	在盘/128x96
map	Town	MapView.object	object	town_objects/069	ok	在盘/160x128
map	Town	MapView.object	object	town_objects/080	ok	在盘/96x128
map	Town	MapView.object	object	town_objects/085	ok	在盘/160x160
map	Town	MapView.object	object	town_objects/086	ok	在盘/160x96
map	Town	MapView.object	object	town_objects/087	ok	在盘/96x128
map	Town	MapView.object	object	town_objects/088	ok	在盘/96x128
map	Town	MapView.object	object	town_objects/089	ok	在盘/160x224
map	Town	MapView.object	object	town_objects/090	ok	在盘/96x224
map	BloodMoor	MapView.floor	floor	moor_bridge/033	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	moor_bridge/035	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	moor_stones/000	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	moor_stones/012	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	moor_stones/022	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/006	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/007	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/027	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/028	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/035	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/051	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/052	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/053	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/054	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/060	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/062	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/063	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/069	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/072	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/093	ok	在盘/160x128
map	BloodMoor	MapView.floor	floor	town_floor/130	ok	在盘/160x128
map	BloodMoor	MapView.object	object	moor_bridge/000	ok	在盘/128x160
map	BloodMoor	MapView.object	object	moor_bridge/004	ok	在盘/128x160
map	BloodMoor	MapView.object	object	moor_cliff1/002	ok	在盘/160x480
map	BloodMoor	MapView.object	object	moor_cliff1/003	ok	在盘/160x448
map	BloodMoor	MapView.object	object	moor_cliff1/004	ok	在盘/160x480
map	BloodMoor	MapView.object	object	moor_cliff1/005	ok	在盘/96x480
map	BloodMoor	MapView.object	object	moor_cliff1/006	ok	在盘/160x480
map	BloodMoor	MapView.object	object	moor_cliff1/007	ok	在盘/128x448
map	BloodMoor	MapView.object	object	moor_cliff1/008	ok	在盘/128x416
map	BloodMoor	MapView.object	object	moor_cliff1/009	ok	在盘/96x480
map	BloodMoor	MapView.object	object	moor_cliff1/010	ok	在盘/160x480
map	BloodMoor	MapView.object	object	moor_cliff1/011	ok	在盘/160x448
map	BloodMoor	MapView.object	object	moor_cliff1/012	ok	在盘/128x416
map	BloodMoor	MapView.object	object	moor_cliff2/002	ok	在盘/160x416
map	BloodMoor	MapView.object	object	moor_cliff2/003	ok	在盘/160x448
map	BloodMoor	MapView.object	object	moor_cliff2/004	ok	在盘/160x448
map	BloodMoor	MapView.object	object	moor_cliff2/005	ok	在盘/160x448
map	BloodMoor	MapView.object	object	moor_cliff2/006	ok	在盘/160x448
map	BloodMoor	MapView.object	object	moor_cliff2/007	ok	在盘/160x448
map	BloodMoor	MapView.object	object	moor_cliff2/008	ok	在盘/160x416
map	BloodMoor	MapView.object	object	moor_cliff2/009	ok	在盘/160x448
map	BloodMoor	MapView.object	object	moor_cliff2/010	ok	在盘/160x448
map	BloodMoor	MapView.object	object	moor_cliff2/011	ok	在盘/160x448
map	BloodMoor	MapView.object	object	moor_cliff2/012	ok	在盘/160x416
map	BloodMoor	MapView.object	object	moor_corner/000	ok	在盘/160x416
map	BloodMoor	MapView.object	object	moor_corner/002	ok	在盘/160x544
map	BloodMoor	MapView.object	object	moor_fence/000	ok	在盘/96x192
map	BloodMoor	MapView.object	object	moor_fence/001	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_fence/002	ok	在盘/96x192
map	BloodMoor	MapView.object	object	moor_fence/003	ok	在盘/96x160
map	BloodMoor	MapView.object	object	moor_fence/004	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_fence/006	ok	在盘/96x192
map	BloodMoor	MapView.object	object	moor_fence/007	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_fence/008	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_fence/009	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_fence/010	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_fence/011	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_fence/012	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_fence/013	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_fence/014	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_fence/015	ok	在盘/128x160
map	BloodMoor	MapView.object	object	moor_fence/016	ok	在盘/96x192
map	BloodMoor	MapView.object	object	moor_fence/017	ok	在盘/96x192
map	BloodMoor	MapView.object	object	moor_fence/018	ok	在盘/96x192
map	BloodMoor	MapView.object	object	moor_fence/019	ok	在盘/96x160
map	BloodMoor	MapView.object	object	moor_fence/020	ok	在盘/96x192
map	BloodMoor	MapView.object	object	moor_fence/021	ok	在盘/128x160
map	BloodMoor	MapView.object	object	moor_fence/022	ok	在盘/96x192
map	BloodMoor	MapView.object	object	moor_objects/037	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_objects/038	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_objects/039	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_objects/040	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_objects/041	ok	在盘/160x224
map	BloodMoor	MapView.object	object	moor_stones/024	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_stones/025	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_stones/026	ok	在盘/160x256
map	BloodMoor	MapView.object	object	moor_stones/027	ok	在盘/160x224
map	BloodMoor	MapView.object	object	moor_stones/028	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_stonewall/000	ok	在盘/160x224
map	BloodMoor	MapView.object	object	moor_stonewall/001	ok	在盘/128x192
map	BloodMoor	MapView.object	object	moor_stonewall/002	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_stonewall/003	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_stonewall/005	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_stonewall/007	ok	在盘/128x160
map	BloodMoor	MapView.object	object	moor_stonewall/008	ok	在盘/160x224
map	BloodMoor	MapView.object	object	moor_stonewall/009	ok	在盘/128x160
map	BloodMoor	MapView.object	object	moor_stonewall/010	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_stonewall/011	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_stonewall/012	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_stonewall/014	ok	在盘/160x224
map	BloodMoor	MapView.object	object	moor_stonewall/015	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_stonewall/016	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_stonewall/017	ok	在盘/128x160
map	BloodMoor	MapView.object	object	moor_stonewall/018	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_stonewall/019	ok	在盘/128x160
map	BloodMoor	MapView.object	object	moor_stonewall/022	ok	在盘/160x192
map	BloodMoor	MapView.object	object	moor_stonewall/029	ok	在盘/128x160
map	BloodMoor	MapView.object	object	moor_stonewall/031	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_stonewall/032	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_stonewall/038	ok	在盘/128x160
map	BloodMoor	MapView.object	object	moor_stonewall/041	ok	在盘/128x160
map	BloodMoor	MapView.object	object	moor_stonewall/044	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_stonewall/046	ok	在盘/96x128
map	BloodMoor	MapView.object	object	moor_stonewall/047	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_stonewall/048	ok	在盘/128x160
map	BloodMoor	MapView.object	object	moor_stonewall/049	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_stonewall/050	ok	在盘/160x160
map	BloodMoor	MapView.object	object	moor_stonewall/051	ok	在盘/128x160
map	BloodMoor	MapView.object	object	moor_trees/000	ok	在盘/96x352
map	BloodMoor	MapView.object	object	moor_trees/001	ok	在盘/160x384
map	BloodMoor	MapView.object	object	moor_trees/002	ok	在盘/160x320
map	BloodMoor	MapView.object	object	moor_trees/003	ok	在盘/96x352
map	BloodMoor	MapView.object	object	moor_trees/004	ok	在盘/160x352
map	BloodMoor	MapView.object	object	moor_trees/005	ok	在盘/160x320
