区域	层	素材键	路径	文件	尺寸	不透明像素	唯一色	判决
Town	floor	moor_bridge/042	D2/Tiles/moor_bridge/042	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/043	D2/Tiles/moor_bridge/043	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/044	D2/Tiles/moor_bridge/044	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/045	D2/Tiles/moor_bridge/045	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/046	D2/Tiles/moor_bridge/046	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/047	D2/Tiles/moor_bridge/047	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/048	D2/Tiles/moor_bridge/048	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/049	D2/Tiles/moor_bridge/049	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/050	D2/Tiles/moor_bridge/050	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/051	D2/Tiles/moor_bridge/051	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/052	D2/Tiles/moor_bridge/052	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/053	D2/Tiles/moor_bridge/053	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/054	D2/Tiles/moor_bridge/054	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/055	D2/Tiles/moor_bridge/055	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/056	D2/Tiles/moor_bridge/056	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/057	D2/Tiles/moor_bridge/057	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/058	D2/Tiles/moor_bridge/058	在盘	160x128	6400	2	ok
Town	floor	moor_bridge/059	D2/Tiles/moor_bridge/059	在盘	160x128	6400	2	ok
Town	floor	moor_objects/003	D2/Tiles/moor_objects/003	在盘	160x128	6388	2	ok
Town	floor	moor_objects/004	D2/Tiles/moor_objects/004	在盘	160x128	6399	2	ok
Town	floor	moor_objects/005	D2/Tiles/moor_objects/005	在盘	160x128	6400	2	ok
Town	floor	moor_objects/006	D2/Tiles/moor_objects/006	在盘	160x128	6400	2	ok
Town	floor	moor_objects/007	D2/Tiles/moor_objects/007	在盘	160x128	6399	2	ok
Town	floor	moor_objects/025	D2/Tiles/moor_objects/025	在盘	160x128	6393	2	ok
Town	floor	moor_objects/026	D2/Tiles/moor_objects/026	在盘	160x128	6398	2	ok
Town	floor	moor_objects/027	D2/Tiles/moor_objects/027	在盘	160x128	6399	2	ok
Town	floor	moor_objects/028	D2/Tiles/moor_objects/028	在盘	160x128	6400	2	ok
Town	floor	moor_objects/029	D2/Tiles/moor_objects/029	在盘	160x128	6400	2	ok
Town	floor	moor_objects/030	D2/Tiles/moor_objects/030	在盘	160x128	6397	2	ok
Town	floor	moor_objects/031	D2/Tiles/moor_objects/031	在盘	160x128	6399	2	ok
Town	floor	moor_objects/032	D2/Tiles/moor_objects/032	在盘	160x128	6400	2	ok
Town	floor	moor_objects/033	D2/Tiles/moor_objects/033	在盘	160x128	6400	2	ok
Town	floor	moor_objects/036	D2/Tiles/moor_objects/036	在盘	160x128	6400	2	ok
Town	floor	moor_river/000	D2/Tiles/moor_river/000	在盘	160x128	6400	2	ok
Town	floor	moor_river/001	D2/Tiles/moor_river/001	在盘	160x128	6400	2	ok
Town	floor	moor_river/002	D2/Tiles/moor_river/002	在盘	160x128	6400	2	ok
Town	floor	moor_river/003	D2/Tiles/moor_river/003	在盘	160x128	6400	2	ok
Town	floor	moor_river/004	D2/Tiles/moor_river/004	在盘	160x128	6400	2	ok
Town	floor	moor_river/005	D2/Tiles/moor_river/005	在盘	160x128	6400	2	ok
Town	floor	moor_river/006	D2/Tiles/moor_river/006	在盘	160x128	6400	2	ok
Town	floor	moor_river/007	D2/Tiles/moor_river/007	在盘	160x128	6399	2	ok
Town	floor	moor_river/008	D2/Tiles/moor_river/008	在盘	160x128	6400	2	ok
Town	floor	moor_river/009	D2/Tiles/moor_river/009	在盘	160x128	6400	2	ok
Town	floor	moor_river/010	D2/Tiles/moor_river/010	在盘	160x128	6400	2	ok
Town	floor	moor_river/011	D2/Tiles/moor_river/011	在盘	160x128	6400	2	ok
Town	floor	moor_river/012	D2/Tiles/moor_river/012	在盘	160x128	6400	2	ok
Town	floor	moor_river/013	D2/Tiles/moor_river/013	在盘	160x128	6400	2	ok
Town	floor	moor_river/014	D2/Tiles/moor_river/014	在盘	160x128	6400	2	ok
Town	floor	moor_river/015	D2/Tiles/moor_river/015	在盘	160x128	6400	2	ok
Town	floor	moor_river/016	D2/Tiles/moor_river/016	在盘	160x128	6400	2	ok
Town	floor	moor_river/017	D2/Tiles/moor_river/017	在盘	160x128	6400	2	ok
Town	floor	moor_river/018	D2/Tiles/moor_river/018	在盘	160x128	6400	2	ok
Town	floor	moor_river/019	D2/Tiles/moor_river/019	在盘	160x128	6400	2	ok
Town	floor	moor_river/020	D2/Tiles/moor_river/020	在盘	160x128	6400	2	ok
Town	floor	moor_river/021	D2/Tiles/moor_river/021	在盘	160x128	6399	2	ok
Town	floor	moor_river/022	D2/Tiles/moor_river/022	在盘	160x128	6400	2	ok
Town	floor	moor_river/023	D2/Tiles/moor_river/023	在盘	160x128	6400	2	ok
Town	floor	moor_river/024	D2/Tiles/moor_river/024	在盘	160x128	6400	2	ok
Town	floor	moor_river/025	D2/Tiles/moor_river/025	在盘	160x128	6400	2	ok
Town	floor	moor_river/026	D2/Tiles/moor_river/026	在盘	160x128	6400	2	ok
Town	floor	moor_river/027	D2/Tiles/moor_river/027	在盘	160x128	6400	2	ok
Town	floor	moor_river/029	D2/Tiles/moor_river/029	在盘	160x128	6400	2	ok
Town	floor	moor_river/033	D2/Tiles/moor_river/033	在盘	160x128	6400	2	ok
Town	floor	moor_river/034	D2/Tiles/moor_river/034	在盘	160x128	6400	2	ok
Town	floor	moor_river/035	D2/Tiles/moor_river/035	在盘	160x128	6400	2	ok
Town	floor	moor_river/036	D2/Tiles/moor_river/036	在盘	160x128	6400	2	ok
Town	floor	moor_river/037	D2/Tiles/moor_river/037	在盘	160x128	6400	2	ok
Town	floor	moor_river/038	D2/Tiles/moor_river/038	在盘	160x128	6400	2	ok
Town	floor	moor_river/039	D2/Tiles/moor_river/039	在盘	160x128	6400	2	ok
Town	floor	moor_river/040	D2/Tiles/moor_river/040	在盘	160x128	6400	2	ok
Town	floor	moor_river/041	D2/Tiles/moor_river/041	在盘	160x128	6400	2	ok
Town	floor	moor_river/042	D2/Tiles/moor_river/042	在盘	160x128	6400	2	ok
Town	floor	moor_river/043	D2/Tiles/moor_river/043	在盘	160x128	6400	2	ok
Town	floor	moor_river/044	D2/Tiles/moor_river/044	在盘	160x128	6400	2	ok
Town	floor	town_floor/000	D2/Tiles/town_floor/000	在盘	160x128	6400	2	ok
Town	floor	town_floor/001	D2/Tiles/town_floor/001	在盘	160x128	6400	2	ok
Town	floor	town_floor/002	D2/Tiles/town_floor/002	在盘	160x128	6400	2	ok
Town	floor	town_floor/003	D2/Tiles/town_floor/003	在盘	160x128	6400	2	ok
Town	floor	town_floor/004	D2/Tiles/town_floor/004	在盘	160x128	6400	2	ok
Town	floor	town_floor/016	D2/Tiles/town_floor/016	在盘	160x128	6400	2	ok
Town	floor	town_floor/018	D2/Tiles/town_floor/018	在盘	160x128	6400	2	ok
Town	floor	town_floor/028	D2/Tiles/town_floor/028	在盘	160x128	6400	2	ok
Town	floor	town_floor/035	D2/Tiles/town_floor/035	在盘	160x128	6400	2	ok
Town	floor	town_floor/045	D2/Tiles/town_floor/045	在盘	160x128	6400	2	ok
Town	floor	town_floor/046	D2/Tiles/town_floor/046	在盘	160x128	6400	2	ok
Town	floor	town_floor/050	D2/Tiles/town_floor/050	在盘	160x128	6400	2	ok
Town	floor	town_floor/051	D2/Tiles/town_floor/051	在盘	160x128	6400	2	ok
Town	floor	town_floor/052	D2/Tiles/town_floor/052	在盘	160x128	6400	2	ok
Town	floor	town_floor/053	D2/Tiles/town_floor/053	在盘	160x128	6400	2	ok
Town	floor	town_floor/054	D2/Tiles/town_floor/054	在盘	160x128	6400	2	ok
Town	floor	town_floor/055	D2/Tiles/town_floor/055	在盘	160x128	6400	2	ok
Town	floor	town_floor/060	D2/Tiles/town_floor/060	在盘	160x128	6400	2	ok
Town	floor	town_floor/061	D2/Tiles/town_floor/061	在盘	160x128	6400	2	ok
Town	floor	town_floor/062	D2/Tiles/town_floor/062	在盘	160x128	6400	2	ok
Town	floor	town_floor/063	D2/Tiles/town_floor/063	在盘	160x128	6400	2	ok
Town	floor	town_floor/065	D2/Tiles/town_floor/065	在盘	160x128	6400	2	ok
Town	floor	town_floor/068	D2/Tiles/town_floor/068	在盘	160x128	6400	2	ok
Town	floor	town_floor/069	D2/Tiles/town_floor/069	在盘	160x128	6400	2	ok
Town	floor	town_floor/070	D2/Tiles/town_floor/070	在盘	160x128	6400	2	ok
Town	floor	town_floor/071	D2/Tiles/town_floor/071	在盘	160x128	6400	2	ok
Town	floor	town_floor/072	D2/Tiles/town_floor/072	在盘	160x128	6400	2	ok
Town	floor	town_floor/091	D2/Tiles/town_floor/091	在盘	160x128	6400	2	ok
Town	floor	town_floor/104	D2/Tiles/town_floor/104	在盘	160x128	6400	2	ok
Town	floor	town_floor/108	D2/Tiles/town_floor/108	在盘	160x128	6400	2	ok
Town	floor	town_floor/109	D2/Tiles/town_floor/109	在盘	160x128	6400	2	ok
Town	floor	town_floor/111	D2/Tiles/town_floor/111	在盘	160x128	6400	2	ok
Town	floor	town_floor/119	D2/Tiles/town_floor/119	在盘	160x128	6400	2	ok
Town	floor	town_floor/120	D2/Tiles/town_floor/120	在盘	160x128	6400	2	ok
Town	floor	town_floor/124	D2/Tiles/town_floor/124	在盘	160x128	6400	2	ok
Town	floor	town_floor/127	D2/Tiles/town_floor/127	在盘	160x128	6400	2	ok
Town	floor	town_floor/128	D2/Tiles/town_floor/128	在盘	160x128	6400	2	ok
Town	floor	town_floor/129	D2/Tiles/town_floor/129	在盘	160x128	6400	2	ok
Town	floor	town_floor/130	D2/Tiles/town_floor/130	在盘	160x128	6400	2	ok
Town	floor	town_floor/131	D2/Tiles/town_floor/131	在盘	160x128	6400	2	ok
Town	floor	town_floor/139	D2/Tiles/town_floor/139	在盘	160x128	6400	2	ok
Town	floor	town_objects/059	D2/Tiles/town_objects/059	在盘	160x128	6400	2	ok
Town	floor	town_objects/060	D2/Tiles/town_objects/060	在盘	160x128	6400	2	ok
Town	floor	town_objects/061	D2/Tiles/town_objects/061	在盘	160x128	6400	2	ok
Town	floor	town_objects/062	D2/Tiles/town_objects/062	在盘	160x128	6400	2	ok
Town	floor	town_objects/063	D2/Tiles/town_objects/063	在盘	160x128	6400	2	ok
Town	floor	town_objects/064	D2/Tiles/town_objects/064	在盘	160x128	6400	2	ok
Town	floor	town_objects/065	D2/Tiles/town_objects/065	在盘	160x128	6400	2	ok
Town	floor	town_objects/066	D2/Tiles/town_objects/066	在盘	160x128	6400	2	ok
Town	floor	town_objects/067	D2/Tiles/town_objects/067	在盘	160x128	6400	2	ok
Town	floor	town_objects/070	D2/Tiles/town_objects/070	在盘	160x128	6400	2	ok
Town	floor	town_objects/071	D2/Tiles/town_objects/071	在盘	160x128	6392	2	ok
Town	floor	town_objects/072	D2/Tiles/town_objects/072	在盘	160x128	6400	2	ok
Town	floor	town_objects/073	D2/Tiles/town_objects/073	在盘	160x128	6400	2	ok
Town	floor	town_objects/074	D2/Tiles/town_objects/074	在盘	160x128	6397	2	ok
Town	floor	town_objects/075	D2/Tiles/town_objects/075	在盘	160x128	6395	2	ok
Town	floor	town_objects/076	D2/Tiles/town_objects/076	在盘	160x128	6399	2	ok
Town	floor	town_objects/077	D2/Tiles/town_objects/077	在盘	160x128	6399	2	ok
Town	floor	town_objects/078	D2/Tiles/town_objects/078	在盘	160x128	6400	2	ok
Town	floor	town_objects/079	D2/Tiles/town_objects/079	在盘	160x128	6397	2	ok
Town	object	moor_bridge/000	D2/Objects/moor_bridge/000	在盘	128x160	2916	2	ok
Town	object	moor_bridge/001	D2/Objects/moor_bridge/001	在盘	160x192	8500	2	ok
Town	object	moor_bridge/002	D2/Objects/moor_bridge/002	在盘	160x192	10274	2	ok
Town	object	moor_bridge/003	D2/Objects/moor_bridge/003	在盘	160x192	10177	2	ok
Town	object	moor_bridge/004	D2/Objects/moor_bridge/004	在盘	128x160	2619	2	ok
Town	object	moor_bridge/005	D2/Objects/moor_bridge/005	在盘	160x192	5127	2	ok
Town	object	moor_bridge/006	D2/Objects/moor_bridge/006	在盘	160x192	5116	2	ok
Town	object	moor_bridge/007	D2/Objects/moor_bridge/007	在盘	160x192	5093	2	ok
Town	object	moor_bridge/008	D2/Objects/moor_bridge/008	在盘	160x192	5030	2	ok
Town	object	moor_bridge/009	D2/Objects/moor_bridge/009	在盘	160x192	10186	2	ok
Town	object	moor_bridge/010	D2/Objects/moor_bridge/010	在盘	160x224	10335	2	ok
Town	object	moor_bridge/011	D2/Objects/moor_bridge/011	在盘	160x192	10262	2	ok
Town	object	moor_bridge/012	D2/Objects/moor_bridge/012	在盘	160x192	9593	2	ok
Town	object	moor_bridge/013	D2/Objects/moor_bridge/013	在盘	160x192	9102	2	ok
Town	object	moor_bridge/014	D2/Objects/moor_bridge/014	在盘	160x160	4743	2	ok
Town	object	moor_bridge/015	D2/Objects/moor_bridge/015	在盘	160x192	5049	2	ok
Town	object	moor_bridge/016	D2/Objects/moor_bridge/016	在盘	160x192	5060	2	ok
Town	object	moor_bridge/017	D2/Objects/moor_bridge/017	在盘	160x192	5031	2	ok
Town	object	moor_bridge/018	D2/Objects/moor_bridge/018	在盘	160x192	4508	2	ok
Town	object	moor_bridge/019	D2/Objects/moor_bridge/019	在盘	160x160	3888	2	ok
Town	object	moor_objects/039	D2/Objects/moor_objects/039	在盘	160x160	10345	2	ok
Town	object	moor_river/028	D2/Objects/moor_river/028	在盘	160x128	6400	1	FLAT(已处置:白名单)
Town	object	moor_stonewall/029	D2/Objects/moor_stonewall/029	在盘	128x160	6196	2	ok
Town	object	moor_stonewall/031	D2/Objects/moor_stonewall/031	在盘	160x160	6428	2	ok
Town	object	moor_stonewall/038	D2/Objects/moor_stonewall/038	在盘	128x160	2072	2	ok
Town	object	moor_stonewall/041	D2/Objects/moor_stonewall/041	在盘	128x160	2456	2	ok
Town	object	moor_stonewall/044	D2/Objects/moor_stonewall/044	在盘	160x160	5290	2	ok
Town	object	moor_stonewall/046	D2/Objects/moor_stonewall/046	在盘	96x128	2494	2	ok
Town	object	moor_stonewall/047	D2/Objects/moor_stonewall/047	在盘	160x160	4608	2	ok
Town	object	moor_stonewall/048	D2/Objects/moor_stonewall/048	在盘	128x160	4088	2	ok
Town	object	moor_stonewall/049	D2/Objects/moor_stonewall/049	在盘	160x160	4582	2	ok
Town	object	moor_stonewall/050	D2/Objects/moor_stonewall/050	在盘	160x160	7024	2	ok
Town	object	moor_stonewall/051	D2/Objects/moor_stonewall/051	在盘	128x160	7269	2	ok
Town	object	moor_trees/000	D2/Objects/moor_trees/000	在盘	96x352	9140	2	ok
Town	object	moor_trees/001	D2/Objects/moor_trees/001	在盘	160x384	28987	2	ok
Town	object	moor_trees/002	D2/Objects/moor_trees/002	在盘	160x320	6586	2	ok
Town	object	moor_trees/003	D2/Objects/moor_trees/003	在盘	96x352	9525	2	ok
Town	object	moor_trees/004	D2/Objects/moor_trees/004	在盘	160x352	31822	2	ok
Town	object	moor_trees/005	D2/Objects/moor_trees/005	在盘	160x320	7678	2	ok
Town	object	moor_trees/006	D2/Objects/moor_trees/006	在盘	96x384	6475	2	ok
Town	object	moor_trees/007	D2/Objects/moor_trees/007	在盘	160x480	40247	2	ok
Town	object	moor_trees/008	D2/Objects/moor_trees/008	在盘	160x448	8457	2	ok
Town	object	moor_trees/009	D2/Objects/moor_trees/009	在盘	160x384	6502	2	ok
Town	object	moor_trees/010	D2/Objects/moor_trees/010	在盘	160x384	33971	2	ok
Town	object	moor_trees/011	D2/Objects/moor_trees/011	在盘	96x384	7675	2	ok
Town	object	moor_trees/012	D2/Objects/moor_trees/012	在盘	96x384	8879	2	ok
Town	object	moor_trees/013	D2/Objects/moor_trees/013	在盘	160x416	41181	2	ok
Town	object	moor_trees/014	D2/Objects/moor_trees/014	在盘	160x384	15223	2	ok
Town	object	moor_trees/015	D2/Objects/moor_trees/015	在盘	64x352	5569	2	ok
Town	object	moor_trees/016	D2/Objects/moor_trees/016	在盘	160x416	34401	2	ok
Town	object	moor_trees/017	D2/Objects/moor_trees/017	在盘	160x384	9752	2	ok
Town	object	moor_trees/018	D2/Objects/moor_trees/018	在盘	96x416	8040	2	ok
Town	object	moor_trees/019	D2/Objects/moor_trees/019	在盘	160x448	38236	2	ok
Town	object	moor_trees/020	D2/Objects/moor_trees/020	在盘	160x448	7288	2	ok
Town	object	town_fence/000	D2/Objects/town_fence/000	在盘	128x256	9049	2	ok
Town	object	town_fence/001	D2/Objects/town_fence/001	在盘	128x256	11512	2	ok
Town	object	town_fence/002	D2/Objects/town_fence/002	在盘	128x288	11179	2	ok
Town	object	town_fence/003	D2/Objects/town_fence/003	在盘	160x256	10626	2	ok
Town	object	town_fence/004	D2/Objects/town_fence/004	在盘	160x288	13618	2	ok
Town	object	town_fence/005	D2/Objects/town_fence/005	在盘	160x288	12580	2	ok
Town	object	town_fence/006	D2/Objects/town_fence/006	在盘	160x288	11395	2	ok
Town	object	town_fence/008	D2/Objects/town_fence/008	在盘	160x288	13821	2	ok
Town	object	town_fence/009	D2/Objects/town_fence/009	在盘	128x256	8795	2	ok
Town	object	town_fence/010	D2/Objects/town_fence/010	在盘	128x256	11444	2	ok
Town	object	town_fence/011	D2/Objects/town_fence/011	在盘	128x288	13537	2	ok
Town	object	town_fence/012	D2/Objects/town_fence/012	在盘	160x256	9994	2	ok
Town	object	town_fence/013	D2/Objects/town_fence/013	在盘	160x288	12518	2	ok
Town	object	town_fence/015	D2/Objects/town_fence/015	在盘	128x288	8854	2	ok
Town	object	town_fence/016	D2/Objects/town_fence/016	在盘	128x256	11321	2	ok
Town	object	town_fence/017	D2/Objects/town_fence/017	在盘	128x288	13638	2	ok
Town	object	town_fence/018	D2/Objects/town_fence/018	在盘	160x256	8846	2	ok
Town	object	town_fence/019	D2/Objects/town_fence/019	在盘	160x288	10886	2	ok
Town	object	town_fence/020	D2/Objects/town_fence/020	在盘	160x288	12333	2	ok
Town	object	town_fence/021	D2/Objects/town_fence/021	在盘	128x256	8224	2	ok
Town	object	town_fence/022	D2/Objects/town_fence/022	在盘	128x256	10788	2	ok
Town	object	town_fence/023	D2/Objects/town_fence/023	在盘	128x288	12969	2	ok
Town	object	town_fence/024	D2/Objects/town_fence/024	在盘	160x256	9259	2	ok
Town	object	town_fence/025	D2/Objects/town_fence/025	在盘	160x288	12010	2	ok
Town	object	town_fence/026	D2/Objects/town_fence/026	在盘	160x288	12478	2	ok
Town	object	town_fence/029	D2/Objects/town_fence/029	在盘	160x256	9148	2	ok
Town	object	town_fence/030	D2/Objects/town_fence/030	在盘	160x256	9039	2	ok
Town	object	town_objects/000	D2/Objects/town_objects/000	在盘	160x160	3848	2	ok
Town	object	town_objects/001	D2/Objects/town_objects/001	在盘	160x192	9664	2	ok
Town	object	town_objects/002	D2/Objects/town_objects/002	在盘	160x160	5869	2	ok
Town	object	town_objects/003	D2/Objects/town_objects/003	在盘	128x160	926	2	ok
Town	object	town_objects/004	D2/Objects/town_objects/004	在盘	160x256	9684	2	ok
Town	object	town_objects/005	D2/Objects/town_objects/005	在盘	160x224	11898	2	ok
Town	object	town_objects/006	D2/Objects/town_objects/006	在盘	160x192	6047	2	ok
Town	object	town_objects/008	D2/Objects/town_objects/008	在盘	128x224	8428	2	ok
Town	object	town_objects/009	D2/Objects/town_objects/009	在盘	96x288	11302	2	ok
Town	object	town_objects/010	D2/Objects/town_objects/010	在盘	96x288	12814	2	ok
Town	object	town_objects/011	D2/Objects/town_objects/011	在盘	96x256	11909	2	ok
Town	object	town_objects/012	D2/Objects/town_objects/012	在盘	96x192	3112	2	ok
Town	object	town_objects/013	D2/Objects/town_objects/013	在盘	160x160	7570	2	ok
Town	object	town_objects/015	D2/Objects/town_objects/015	在盘	160x224	6951	2	ok
Town	object	town_objects/017	D2/Objects/town_objects/017	在盘	160x256	13267	2	ok
Town	object	town_objects/018	D2/Objects/town_objects/018	在盘	128x128	3558	2	ok
Town	object	town_objects/019	D2/Objects/town_objects/019	在盘	160x192	5855	2	ok
Town	object	town_objects/021	D2/Objects/town_objects/021	在盘	128x128	790	2	ok
Town	object	town_objects/022	D2/Objects/town_objects/022	在盘	160x192	2527	2	ok
Town	object	town_objects/023	D2/Objects/town_objects/023	在盘	160x224	9184	2	ok
Town	object	town_objects/024	D2/Objects/town_objects/024	在盘	160x224	8200	2	ok
Town	object	town_objects/025	D2/Objects/town_objects/025	在盘	160x192	8058	2	ok
Town	object	town_objects/026	D2/Objects/town_objects/026	在盘	128x192	8343	2	ok
Town	object	town_objects/027	D2/Objects/town_objects/027	在盘	160x160	8495	2	ok
Town	object	town_objects/028	D2/Objects/town_objects/028	在盘	128x160	4461	2	ok
Town	object	town_objects/035	D2/Objects/town_objects/035	在盘	160x128	6385	2	ok
Town	object	town_objects/036	D2/Objects/town_objects/036	在盘	160x128	6400	2	ok
Town	object	town_objects/037	D2/Objects/town_objects/037	在盘	160x128	6400	2	ok
Town	object	town_objects/038	D2/Objects/town_objects/038	在盘	160x128	4081	2	ok
Town	object	town_objects/039	D2/Objects/town_objects/039	在盘	160x128	637	2	ok
Town	object	town_objects/040	D2/Objects/town_objects/040	在盘	160x128	5274	2	ok
Town	object	town_objects/041	D2/Objects/town_objects/041	在盘	160x128	5779	2	ok
Town	object	town_objects/042	D2/Objects/town_objects/042	在盘	160x128	4528	2	ok
Town	object	town_objects/043	D2/Objects/town_objects/043	在盘	160x128	2141	2	ok
Town	object	town_objects/044	D2/Objects/town_objects/044	在盘	128x128	811	2	ok
Town	object	town_objects/045	D2/Objects/town_objects/045	在盘	160x192	7202	2	ok
Town	object	town_objects/046	D2/Objects/town_objects/046	在盘	160x192	8129	2	ok
Town	object	town_objects/047	D2/Objects/town_objects/047	在盘	128x192	8064	2	ok
Town	object	town_objects/048	D2/Objects/town_objects/048	在盘	128x192	6266	2	ok
Town	object	town_objects/049	D2/Objects/town_objects/049	在盘	160x128	6400	2	ok
Town	object	town_objects/050	D2/Objects/town_objects/050	在盘	160x128	4425	2	ok
Town	object	town_objects/051	D2/Objects/town_objects/051	在盘	160x128	5150	2	ok
Town	object	town_objects/052	D2/Objects/town_objects/052	在盘	160x128	3566	2	ok
Town	object	town_objects/053	D2/Objects/town_objects/053	在盘	160x128	1283	2	ok
Town	object	town_objects/054	D2/Objects/town_objects/054	在盘	128x128	2171	2	ok
Town	object	town_objects/055	D2/Objects/town_objects/055	在盘	160x192	4741	2	ok
Town	object	town_objects/056	D2/Objects/town_objects/056	在盘	160x288	4852	2	ok
Town	object	town_objects/057	D2/Objects/town_objects/057	在盘	160x288	13189	2	ok
Town	object	town_objects/058	D2/Objects/town_objects/058	在盘	160x256	13315	2	ok
Town	object	town_objects/068	D2/Objects/town_objects/068	在盘	128x96	2499	2	ok
Town	object	town_objects/069	D2/Objects/town_objects/069	在盘	160x128	3592	2	ok
Town	object	town_objects/080	D2/Objects/town_objects/080	在盘	96x128	1198	2	ok
Town	object	town_objects/085	D2/Objects/town_objects/085	在盘	160x160	4867	2	ok
Town	object	town_objects/086	D2/Objects/town_objects/086	在盘	160x96	2737	2	ok
Town	object	town_objects/087	D2/Objects/town_objects/087	在盘	96x128	1472	2	ok
Town	object	town_objects/088	D2/Objects/town_objects/088	在盘	96x128	2777	2	ok
Town	object	town_objects/089	D2/Objects/town_objects/089	在盘	160x224	10079	2	ok
Town	object	town_objects/090	D2/Objects/town_objects/090	在盘	96x224	6284	2	ok
BloodMoor	floor	moor_bridge/033	D2/Tiles/moor_bridge/033	在盘	160x128	6400	2	ok
BloodMoor	floor	moor_bridge/035	D2/Tiles/moor_bridge/035	在盘	160x128	6400	2	ok
BloodMoor	floor	moor_stones/000	D2/Tiles/moor_stones/000	在盘	160x128	6400	2	ok
BloodMoor	floor	moor_stones/012	D2/Tiles/moor_stones/012	在盘	160x128	6400	2	ok
BloodMoor	floor	moor_stones/022	D2/Tiles/moor_stones/022	在盘	160x128	6400	2	ok
BloodMoor	floor	town_floor/006	D2/Tiles/town_floor/006	在盘	160x128	6400	2	ok
BloodMoor	floor	town_floor/007	D2/Tiles/town_floor/007	在盘	160x128	6400	2	ok
BloodMoor	floor	town_floor/027	D2/Tiles/town_floor/027	在盘	160x128	6400	2	ok
BloodMoor	floor	town_floor/028	D2/Tiles/town_floor/028	在盘	160x128	6400	2	ok
BloodMoor	floor	town_floor/035	D2/Tiles/town_floor/035	在盘	160x128	6400	2	ok
BloodMoor	floor	town_floor/051	D2/Tiles/town_floor/051	在盘	160x128	6400	2	ok
BloodMoor	floor	town_floor/052	D2/Tiles/town_floor/052	在盘	160x128	6400	2	ok
BloodMoor	floor	town_floor/053	D2/Tiles/town_floor/053	在盘	160x128	6400	2	ok
BloodMoor	floor	town_floor/054	D2/Tiles/town_floor/054	在盘	160x128	6400	2	ok
BloodMoor	floor	town_floor/060	D2/Tiles/town_floor/060	在盘	160x128	6400	2	ok
BloodMoor	floor	town_floor/062	D2/Tiles/town_floor/062	在盘	160x128	6400	2	ok
BloodMoor	floor	town_floor/063	D2/Tiles/town_floor/063	在盘	160x128	6400	2	ok
