# D10 玩法系统（sys:*）三态 ← 既有离线宿主的断言与本次实测值
# 生成：python tools/probes/enumerate/host_asserts.py --run（只读宿主，不改任何 client/**）
# 列：sys	状态	宿主	断言名	实测值	宿主源码(文件:行)	宿主输出(文件:行)
sys:Flow(7 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	flowcheck	已在 Stage 时「同区进图」被忽略：Scene.Load 调用次数不增加	loads=2→2 scenes=Menu,Stage	tools/probes/hosts/flowcheck/Program.cs:501	flowcheck.txt:112
sys:Flow(7 cs)	异常分支（必须留痕）	flowcheck	兜底清扫：非本站点面板被关掉，并留下可检索 Warn（漏关不再静默）	Warn数=1 当前开着=CharCreatePanel	tools/probes/hosts/flowcheck/Program.cs:417	flowcheck.txt:42
sys:Input(2 cs)	默认分支	playercheck	Poll 后 PrimaryDown/PrimaryHeld = true	down=True held=True	tools/probes/hosts/playercheck/Program.cs:1290	playercheck.txt:585
sys:Input(2 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	playercheck	ShouldRetarget：只差 1 格→ false（防抖动/省 A*）	差 1 格	tools/probes/hosts/playercheck/Program.cs:1278	playercheck.txt:581
sys:Input(2 cs)	异常分支（必须留痕）	playercheck	输入后端不可用时 Poll 不崩、状态为 false，且只报一次 Warn	[WARN ] [Input] Game.Input 不可用（CloverInput.Init 未调用或输入后端探测失败）⇒ 点击移动/悬停/腰带快捷键全部失效（只报一次）	tools/probes/hosts/playercheck/Program.cs:1367	playercheck.txt:602
sys:Item(8 cs)	默认分支	itemcheck	2×3 物品放得下	anchor=0	tools/probes/hosts/itemcheck/Program.cs:649	itemcheck.txt:72
sys:Item(8 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	itemcheck	满包再入包 ⇒ 返回 false（不假装成功）	AddToInventory=False	tools/probes/hosts/itemcheck/Program.cs:683	itemcheck.txt:82
sys:Item(8 cs)	异常分支（必须留痕）	itemcheck	满包时有可读日志（放不下/背包）	见 [WARN] [Item] ...放不下...	tools/probes/hosts/itemcheck/Program.cs:684	itemcheck.txt:83
sys:Map(13 cs)	默认分支	mapcheck	同 seed 两次生成完全一致	✅ Town 同 seed 两次生成完全一致	tools/probes/hosts/mapcheck/Program.cs:136	mapcheck.txt:319
sys:Map(13 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	mapcheck	是原版块边长 25 的整数倍且在[CaveMinSize 50, CaveMaxSize 75]	✅ seed=1000：尺寸 50x50 是原版块边长 25 的整数倍且在 [CaveMinSize 50, CaveMaxSize 75]	tools/probes/hosts/mapcheck/Program.cs:450	mapcheck.txt:1715
sys:Map(13 cs)	异常分支（必须留痕）	mapcheck	重试全部失败后仍产出可玩地图（保底布局生效）	✅ 重试全部失败后仍产出可玩地图（保底布局生效）	tools/probes/hosts/mapcheck/Program.cs:358	mapcheck.txt:1244
sys:Monster(7 cs)	默认分支	combatcheck	Coward：低血会逃跑（距离变大）	4.24 → 7.07	tools/probes/hosts/combatcheck/Program.cs:530	combatcheck.txt:301
sys:Monster(7 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	combatcheck	Coward：已被打到低血（≤35%）	30/100	tools/probes/hosts/combatcheck/Program.cs:518	combatcheck.txt:288
sys:Monster(7 cs)	异常分支（必须留痕）	combatcheck	Coward：逃跑时不再攻击（逃跑优先于出手）	0 次	tools/probes/hosts/combatcheck/Program.cs:531	combatcheck.txt:302
sys:Npc(3 cs)	默认分支	itemcheck	5 个 NPC 定义齐全	count=5	tools/probes/hosts/itemcheck/Program.cs:876	itemcheck.txt:160
sys:Npc(3 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	itemcheck	对话选项下标 0 恒为关闭（文案 = 原版串 3394 `NPCMenuLeave`「離開」）	options[0]=離開	tools/probes/hosts/itemcheck/Program.cs:903	itemcheck.txt:176
sys:Npc(3 cs)	异常分支（必须留痕）	itemcheck	点了 NPC 但人还在远处⇒ 尚未弹对话	DialogOpen=0	tools/probes/hosts/itemcheck/Program.cs:924	itemcheck.txt:180
sys:Player(4 cs)	默认分支	playercheck	class_c 5 个职业可读	class1=亚马逊 class5=野蛮人	tools/probes/hosts/playercheck/Program.cs:298	playercheck.txt:7
sys:Player(4 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	playercheck	点数不足被拒（返回 false 且不改值）	剩余 10	tools/probes/hosts/playercheck/Program.cs:882	playercheck.txt:387
sys:Player(4 cs)	异常分支（必须留痕）	playercheck	图外目标仍被拒：不动 + UnreachableCount+1 + 留日志	格=(4, 18)（应停在 (4, 18)）UnreachableCount=0→1	tools/probes/hosts/playercheck/Program.cs:512	playercheck.txt:225
sys:Quest(2 cs)	默认分支	itemcheck	初始状态 = NotStarted	NotStarted	tools/probes/hosts/itemcheck/Program.cs:815	itemcheck.txt:128
sys:Quest(2 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	itemcheck	required=0 时不可交付	CanTurnInDen=False	tools/probes/hosts/itemcheck/Program.cs:823	itemcheck.txt:133
sys:Quest(2 cs)	异常分支（必须留痕）	itemcheck	野外击杀有可读日志（不是洞穴）	见 [INFO] [Quest] NotifyMonsterKilled	tools/probes/hosts/itemcheck/Program.cs:838	itemcheck.txt:139
sys:Save(2 cs)	默认分支	savecheck	Write(Parse(json)) == json`（逐字节恒等 ⇒ 本片没动 `SaveJson` 的序列化语义）	[ OK ] ★ `Write(Parse(json)) == json`（逐字节恒等 ⇒ 本片没动 `SaveJson` 的序列化语义）	tools/probes/hosts/savecheck/Program.cs:12	savecheck.txt:115
sys:Save(2 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	itemcheck	版本不符仍能读（降级，不崩）	lv=7 gold=55 version=1	tools/probes/hosts/itemcheck/Program.cs:1076	itemcheck.txt:234
sys:Save(2 cs)	异常分支（必须留痕）	savecheck	坏内容有告警（⛔ 不静默）   （告警行数=1）	[ OK ] 坏内容有告警（⛔ 不静默）   （告警行数=1）	tools/probes/hosts/savecheck/Program.cs:479	savecheck.txt:153
sys:Skill(5 cs)	默认分支	combatcheck	找到「1 级可学、无前置」的第一个技能	魔法箭#1	tools/probes/hosts/combatcheck/Program.cs:828	combatcheck.txt:776
sys:Skill(5 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	combatcheck	技能点 = 0 时 CanLearn = false（点数不足）	见日志的拒绝原因	tools/probes/hosts/combatcheck/Program.cs:831	combatcheck.txt:778
sys:Skill(5 cs)	异常分支（必须留痕）	combatcheck	被动技能不能绑到左右键（防御：AssignToButton 返回 -1 保持）	被动的拒绝路径见日志提示（本项目在 ValidateSelectable 里拒绝）	tools/probes/hosts/combatcheck/Program.cs:866	combatcheck.txt:794
sys:View(8 cs)	默认分支	combatcheck	初始帧 = 0，键名正确	0/walk_s_0	tools/probes/hosts/combatcheck/Program.cs:1009	combatcheck.txt:1045
sys:View(8 cs)	边界值（阈值±1 / 0 / 上限 / 超界）	combatcheck	非循环动画停在最后一帧且 Finished=true	2/True	tools/probes/hosts/combatcheck/Program.cs:1034	combatcheck.txt:1050
sys:View(8 cs)	异常分支（必须留痕）	combatcheck	只报一次：连跑 5 帧只产生 1 条该日志（不许每帧刷屏）	实际 1 条	tools/probes/hosts/combatcheck/Program.cs:1130	combatcheck.txt:1071
