scen	frame	dt	lx	ly	rx	ry	cx	cy	grid	crossed	spr	cad
line	80	0.016667	4.050000	2.025000	4.050000	2.025000	4.000000	2.000000	(4,0)	0	walk	A
line	81	0.016667	4.100000	2.050000	4.100000	2.050000	4.050000	2.025000	(4,0)	0	walk	A
line	82	0.016667	4.150000	2.075000	4.150000	2.075000	4.100000	2.050000	(4,0)	0	walk	A
line	83	0.016667	4.200000	2.100000	4.200000	2.100000	4.150000	2.075000	(4,0)	0	walk	A
line	84	0.016667	4.250000	2.125000	4.250000	2.125000	4.200000	2.100000	(4,0)	1	walk	A
line	85	0.016667	4.300000	2.150000	4.300000	2.150000	4.250000	2.125000	(4,0)	0	walk	A
line	86	0.016667	4.350000	2.175000	4.350000	2.175000	4.300000	2.150000	(4,0)	0	walk	A
line	87	0.016667	4.400000	2.200000	4.400000	2.200000	4.350000	2.175000	(4,0)	0	walk	A
line	88	0.016667	4.450000	2.225000	4.450000	2.225000	4.400000	2.200000	(4,0)	0	walk	A
line	89	0.016667	4.500000	2.250000	4.500000	2.250000	4.450000	2.225000	(4,0)	0	walk	A
line	90	0.016667	4.550000	2.275000	4.550000	2.275000	4.500000	2.250000	(4,0)	0	walk	A
line	91	0.016667	4.600000	2.300000	4.600000	2.300000	4.550000	2.275000	(4,0)	0	walk	A
line	92	0.016667	4.650000	2.325000	4.650000	2.325000	4.600000	2.300000	(4,0)	0	walk	A
line	93	0.016667	4.700000	2.350000	4.700000	2.350000	4.650000	2.325000	(4,0)	0	walk	A
line	94	0.016667	4.750000	2.375000	4.750000	2.375000	4.700000	2.350000	(4,0)	0	walk	A
line	95	0.016667	4.800000	2.400000	4.800000	2.400000	4.750000	2.375000	(4,0)	0	walk	A
line	96	0.016667	4.850000	2.425000	4.850000	2.425000	4.800000	2.400000	(4,0)	1	walk	A
line	97	0.016667	4.900000	2.450000	4.900000	2.450000	4.850000	2.425000	(4,0)	0	walk	A
line	98	0.016667	4.950000	2.475000	4.950000	2.475000	4.900000	2.450000	(4,0)	0	walk	A
line	99	0.016667	5.000000	2.500000	5.000000	2.500000	4.950000	2.475000	(4,0)	0	walk	A
line	100	0.016667	5.050000	2.525000	5.050000	2.525000	5.000000	2.500000	(5,0)	0	walk	A
line	101	0.016667	5.100000	2.550000	5.100000	2.550000	5.050000	2.525000	(5,0)	0	walk	A
line	102	0.016667	5.150000	2.575000	5.150000	2.575000	5.100000	2.550000	(5,0)	0	walk	A
line	103	0.016667	5.200000	2.600000	5.200000	2.600000	5.150000	2.575000	(5,0)	0	walk	A
line	104	0.016667	5.250000	2.625000	5.250000	2.625000	5.200000	2.600000	(5,0)	0	walk	A
line	105	0.016667	5.300000	2.650000	5.300000	2.650000	5.250000	2.625000	(5,0)	0	walk	A
line	106	0.016667	5.350000	2.675000	5.350000	2.675000	5.300000	2.650000	(5,0)	0	walk	A
line	107	0.016667	5.400000	2.700000	5.400000	2.700000	5.350000	2.675000	(5,0)	0	walk	A
line	108	0.016667	5.450000	2.725000	5.450000	2.725000	5.400000	2.700000	(5,0)	1	walk	A
line	109	0.016667	5.500000	2.750000	5.500000	2.750000	5.450000	2.725000	(5,0)	0	walk	A
line	110	0.016667	5.550000	2.775000	5.550000	2.775000	5.500000	2.750000	(5,0)	0	walk	A
line	111	0.016667	5.600000	2.800000	5.600000	2.800000	5.550000	2.775000	(5,0)	0	walk	A
line	112	0.016667	5.650000	2.825000	5.650000	2.825000	5.600000	2.800000	(5,0)	0	walk	A
line	113	0.016667	5.700000	2.850000	5.700000	2.850000	5.650000	2.825000	(5,0)	0	walk	A
line	114	0.016667	5.750000	2.875000	5.750000	2.875000	5.700000	2.850000	(5,0)	0	walk	A
line	115	0.016667	5.800000	2.900000	5.800000	2.900000	5.750000	2.875000	(5,0)	0	walk	A
line	116	0.016667	5.850000	2.925000	5.850000	2.925000	5.800000	2.900000	(5,0)	0	walk	A
line	117	0.016667	5.900000	2.950000	5.900000	2.950000	5.850000	2.925000	(5,0)	0	walk	A
line	118	0.016667	5.950000	2.975000	5.950000	2.975000	5.900000	2.950000	(5,0)	0	walk	A
line	119	0.016667	6.000000	3.000000	6.000000	3.000000	5.950000	2.975000	(5,0)	0	walk	A
