scen	frame	dt	lx	ly	rx	ry	cx	cy	grid	crossed	spr	cad
line	35	0.016667	1.802550	0.901275	1.802550	0.901275	1.753550	0.876775	(1,0)	0	walk	A
line	36	0.016667	1.853550	0.926775	1.853550	0.926775	1.802550	0.901275	(1,0)	1	walk	A
line	37	0.016667	1.902550	0.951275	1.902550	0.951275	1.853550	0.926775	(1,0)	0	walk	A
line	38	0.016667	1.953550	0.976775	1.953550	0.976775	1.902550	0.951275	(1,0)	0	walk	A
line	39	0.016667	2.002550	1.001275	2.002550	1.001275	1.953550	0.976775	(2,0)	0	walk	A
line	40	0.050000	2.053550	1.026775	2.053550	1.026775	2.002550	1.001275	(2,0)	0	walk	A
line	41	0.016667	2.102550	1.051275	2.102550	1.051275	2.053550	1.026775	(2,0)	0	walk	A
line	42	0.016667	2.153550	1.076775	2.153550	1.076775	2.102550	1.051275	(2,0)	0	walk	A
line	43	0.016667	2.202550	1.101275	2.202550	1.101275	2.153550	1.076775	(2,0)	0	walk	A
line	44	0.016667	2.253550	1.126775	2.253550	1.126775	2.202550	1.101275	(2,0)	0	walk	A
line	45	0.016667	2.302550	1.151275	2.302550	1.151275	2.253550	1.126775	(2,0)	0	walk	A
line	46	0.016667	2.353550	1.176775	2.353550	1.176775	2.302550	1.151275	(2,0)	0	walk	A
line	47	0.016667	2.402550	1.201275	2.402550	1.201275	2.353550	1.176775	(2,0)	0	walk	A
line	48	0.016667	2.453550	1.226775	2.453550	1.226775	2.402550	1.201275	(2,0)	1	walk	A
line	49	0.016667	2.502550	1.251275	2.502550	1.251275	2.453550	1.226775	(2,0)	0	walk	A
line	50	0.016667	2.553550	1.276775	2.554550	1.276775	2.502550	1.251275	(2,0)	0	walk	A
line	51	0.016667	2.602550	1.301275	2.602550	1.301275	2.553550	1.276775	(2,0)	0	walk	A
line	52	0.016667	2.653550	1.326775	2.653550	1.326775	2.602550	1.301275	(2,0)	0	walk	A
line	53	0.016667	2.702550	1.351275	2.702550	1.351275	2.653550	1.326775	(2,0)	0	walk	A
line	54	0.016667	2.753550	1.376775	2.753550	1.376775	2.702550	1.351275	(2,0)	0	walk	A
line	55	0.016667	2.802550	1.401275	2.802550	1.401275	2.753550	1.376775	(2,0)	0	walk	A
line	56	0.016667	2.853550	1.426775	2.853550	1.426775	2.802550	1.401275	(2,0)	0	walk	A
line	57	0.016667	2.902550	1.451275	2.902550	1.451275	2.853550	1.426775	(2,0)	0	walk	A
line	58	0.016667	2.953550	1.476775	2.953550	1.476775	2.902550	1.451275	(2,0)	0	walk	A
line	59	0.016667	3.002550	1.501275	3.002550	1.501275	2.953550	1.476775	(3,0)	0	walk	A
line	60	0.016667	3.053550	1.526775	3.053550	1.526775	2.953550	1.476775	(3,0)	1	walk	A
line	61	0.016667	3.102550	1.551275	3.102550	1.551275	3.053550	1.526775	(3,0)	0	walk	A
line	62	0.016667	3.153550	1.576775	3.153550	1.576775	3.102550	1.551275	(3,0)	0	walk	A
line	63	0.016667	3.202550	1.601275	3.202550	1.601275	3.153550	1.576775	(3,0)	0	walk	A
line	64	0.016667	3.253550	1.626775	3.253550	1.626775	3.202550	1.601275	(3,0)	0	walk	A
line	65	0.016667	3.302550	1.651275	3.302550	1.651275	3.253550	1.626775	(3,0)	0	walk	A
line	66	0.016667	3.353550	1.676775	3.353550	1.676775	3.302550	1.651275	(3,0)	0	walk	A
line	67	0.016667	3.402550	1.701275	3.402550	1.701275	3.353550	1.676775	(3,0)	0	walk	A
line	68	0.016667	3.453550	1.726775	3.453550	1.726775	3.402550	1.701275	(3,0)	0	walk	A
line	69	0.016667	3.502550	1.751275	3.502550	1.751275	3.453550	1.726775	(3,0)	0	walk	A
line	70	0.016667	3.553550	1.776775	3.553550	1.776775	3.502550	1.751275	(3,0)	0	walk	A
line	71	0.016667	3.602550	1.801275	3.602550	1.801275	3.553550	1.776775	(3,0)	0	walk	A
line	72	0.016667	3.653550	1.826775	3.653550	1.826775	3.602550	1.801275	(3,0)	1	walk	A
line	73	0.016667	3.702550	1.851275	3.702550	1.851275	3.653550	1.826775	(3,0)	0	walk	A
line	74	0.016667	3.753550	1.876775	3.753550	1.876775	3.702550	1.851275	(3,0)	0	walk	A
line	75	0.016667	3.802550	1.901275	3.802550	1.901275	3.753550	1.876775	(3,0)	0	walk	A
line	76	0.016667	3.853550	1.926775	3.853550	1.926775	3.802550	1.901275	(3,0)	0	walk	A
line	77	0.016667	3.902550	1.951275	3.902550	1.951275	3.853550	1.926775	(3,0)	0	walk	A
line	78	0.016667	3.953550	1.976775	3.953550	1.976775	3.902550	1.951275	(3,0)	0	walk	A
line	79	0.016667	4.002550	2.001275	4.002550	2.001275	3.953550	1.976775	(4,0)	0	walk	A
line	80	0.016667	4.053550	2.026775	4.053550	2.026775	4.002550	2.001275	(4,0)	0	walk	A
line	81	0.016667	4.102550	2.051275	4.102550	2.051275	4.053550	2.026775	(4,0)	0	walk	A
line	82	0.016667	4.153550	2.076775	4.153550	2.076775	4.102550	2.051275	(4,0)	0	walk	A
line	83	0.016667	4.202550	2.101275	4.202550	2.101275	4.153550	2.076775	(4,0)	0	walk	A
line	84	0.016667	4.253550	2.126775	4.253550	2.126775	4.202550	2.101275	(4,0)	1	walk	A
line	85	0.016667	4.302550	2.151275	4.302550	2.151275	4.253550	2.126775	(4,0)	0	walk	A
line	86	0.016667	4.353550	2.176775	4.353550	2.176775	4.302550	2.151275	(4,0)	0	walk	A
line	87	0.016667	4.402550	2.201275	4.402550	2.201275	4.353550	2.176775	(4,0)	0	walk	A
line	88	0.016667	4.453550	2.226775	4.453550	2.226775	4.402550	2.201275	(4,0)	0	walk	A
line	89	0.016667	4.502550	2.251275	4.502550	2.251275	4.453550	2.226775	(4,0)	0	walk	A
line	90	0.016667	4.553550	2.276775	4.553550	2.276775	4.502550	2.251275	(4,0)	0	walk	A
line	91	0.016667	4.602550	2.301275	4.602550	2.301275	4.553550	2.276775	(4,0)	0	walk	A
line	92	0.016667	4.653550	2.326775	4.653550	2.326775	4.602550	2.301275	(4,0)	0	walk	A
line	93	0.016667	4.702550	2.351275	4.702550	2.351275	4.653550	2.326775	(4,0)	0	walk	A
line	94	0.016667	4.753550	2.376775	4.753550	2.376775	4.702550	2.351275	(4,0)	0	walk	A
line	95	0.016667	4.802550	2.401275	4.802550	2.401275	4.753550	2.376775	(4,0)	0	walk	A
line	96	0.016667	4.853550	2.426775	4.853550	2.426775	4.802550	2.401275	(4,0)	1	walk	A
line	97	0.016667	4.902550	2.451275	4.902550	2.451275	4.853550	2.426775	(4,0)	0	walk	A
line	98	0.016667	4.953550	2.476775	4.953550	2.476775	4.902550	2.451275	(4,0)	0	walk	A
line	99	0.016667	5.002550	2.501275	5.002550	2.501275	4.953550	2.476775	(5,0)	0	walk	A
line	100	0.016667	5.053550	2.526775	5.053550	2.526775	5.002550	2.501275	(5,0)	0	walk	A
line	101	0.016667	5.102550	2.551275	5.102550	2.551275	5.053550	2.526775	(5,0)	0	walk	A
line	102	0.016667	5.153550	2.576775	5.153550	2.576775	5.102550	2.551275	(5,0)	0	walk	A
line	103	0.016667	5.202550	2.601275	5.202550	2.601275	5.153550	2.576775	(5,0)	0	walk	A
line	104	0.016667	5.253550	2.626775	5.253550	2.626775	5.202550	2.601275	(5,0)	0	walk	A
line	105	0.016667	5.302550	2.651275	5.302550	2.651275	5.253550	2.626775	(5,0)	0	walk	A
line	106	0.016667	5.353550	2.676775	5.353550	2.676775	5.302550	2.651275	(5,0)	0	walk	A
line	107	0.016667	5.402550	2.701275	5.402550	2.701275	5.353550	2.676775	(5,0)	0	walk	A
line	108	0.016667	5.453550	2.726775	5.453550	2.726775	5.402550	2.701275	(5,0)	1	walk	A
line	109	0.016667	5.502550	2.751275	5.502550	2.751275	5.453550	2.726775	(5,0)	0	walk	A
line	110	0.016667	5.553550	2.776775	5.553550	2.776775	5.502550	2.751275	(5,0)	0	walk	A
line	111	0.016667	5.602550	2.801275	5.602550	2.801275	5.553550	2.776775	(5,0)	0	walk	A
line	112	0.016667	5.653550	2.826775	5.653550	2.826775	5.602550	2.801275	(5,0)	0	walk	A
line	113	0.016667	5.702550	2.851275	5.702550	2.851275	5.653550	2.826775	(5,0)	0	walk	A
line	114	0.016667	5.753550	2.876775	5.753550	2.876775	5.702550	2.851275	(5,0)	0	walk	A
line	115	0.016667	5.802550	2.901275	5.802550	2.901275	5.753550	2.876775	(5,0)	0	walk	A
line	116	0.016667	5.853550	2.926775	5.853550	2.926775	5.802550	2.901275	(5,0)	0	walk	A
line	117	0.016667	5.902550	2.951275	5.902550	2.951275	5.853550	2.926775	(5,0)	0	walk	A
line	118	0.016667	5.953550	2.976775	5.953550	2.976775	5.902550	2.951275	(5,0)	0	walk	A
line	119	0.016667	6.002550	3.001275	6.002550	3.001275	5.953550	2.976775	(6,0)	0	walk	A
