id	name	code	source	type	subtype	grid_w	grid_h	lvl_req	item_level	str_req	dex_req	dmg_min	dmg_max	dmg2_min	dmg2_max	str_bonus	dex_bonus	mis_min	mis_max	def_min	def_max	block	price	stack	min_stack	max_stack	two_handed	one_or_two	speed	sockets	belt_slots	quest
53	大盾	lrg	armo	shie		2	3	0	11	34	0	0	0	0	0	100	0	0	0	12	14	12	1214	0	0	0	0	0	5	3	0	0
54	轻型手套	lgl	armo	glov		2	2	0	3	0	0	0	0	0	0	0	0	0	0	2	3	0	80	0	0	0	0	0	0	0	0	0
55	重型手套	vgl	armo	glov		2	2	0	7	0	0	0	0	0	0	0	0	0	0	5	6	0	352	0	0	0	0	0	0	0	0	0
56	中护腕	mgl	armo	glov		2	2	0	12	25	0	0	0	0	0	0	0	0	0	8	9	0	859	0	0	0	0	0	0	0	0	0
57	皮靴	lbt	armo	boot		2	2	0	3	0	0	0	0	0	0	120	0	0	0	2	3	0	80	0	0	0	0	0	0	0	0	0
58	重型靴	vbt	armo	boot		2	2	0	7	18	0	0	0	0	0	120	0	0	0	5	6	0	334	0	0	0	0	0	0	0	0	0
59	锁甲靴	mbt	armo	boot		2	2	0	12	30	0	0	0	0	0	120	0	0	0	8	9	0	854	0	0	0	0	0	0	0	0	0
60	饰带	lbl	armo	belt		2	1	0	3	0	0	0	0	0	0	0	0	0	0	2	2	0	64	0	0	0	0	0	0	0	1	0
61	轻腰带	vbl	armo	belt		2	1	0	7	0	0	0	0	0	0	0	0	0	0	3	3	0	192	0	0	0	0	0	0	0	4	0
62	中腰带	mbl	armo	belt		2	1	0	12	25	0	0	0	0	0	0	0	0	0	5	5	0	495	0	0	0	0	0	0	0	0	0
63	尖刺盾	spk	armo	shie		2	3	0	11	30	0	0	0	0	0	100	0	0	0	15	25	10	1890	0	0	0	0	0	0	2	0	0
64	狼头盔	dr1	armo	pelt		2	2	3	4	16	0	0	0	0	0	0	0	0	0	8	11	0	364	0	0	0	0	0	0	3	0	0
65	鹰盔	dr2	armo	pelt		2	2	6	8	20	0	0	0	0	0	0	0	0	0	4	15	0	664	0	0	0	0	0	0	3	0	0
66	颚骨帽	ba1	armo	phlm		2	2	3	4	25	0	0	0	0	0	0	0	0	0	10	15	0	320	0	0	0	0	0	0	3	0	0
67	獠牙盔	ba2	armo	phlm		2	2	6	8	35	0	0	0	0	0	0	0	0	0	15	20	0	750	0	0	0	0	0	0	3	0	0
68	小圆盾	pa1	armo	ashd		2	2	3	4	16	0	0	0	0	0	100	0	0	0	8	12	10	384	0	0	0	0	0	0	4	0	0
69	圆盾（圣骑士）	pa2	armo	ashd		2	2	6	8	26	0	0	0	0	0	100	0	0	0	10	18	15	982	0	0	0	0	0	0	4	0	0
70	保存的头颅	ne1	armo	head		2	2	3	4	12	0	0	0	0	0	0	0	0	0	2	5	3	128	0	0	0	0	0	0	2	0	0
71	丧尸头颅	ne2	armo	head		2	2	6	8	14	0	0	0	0	0	0	0	0	0	4	8	5	418	0	0	0	0	0	0	2	0	0
72	治疗药水（经典）	hpo	misc	hpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0
73	法力药水（经典）	mpo	misc	mpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0
74	全满治疗药水	hpf	misc	hpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	1	0
75	全满法力药水	mpf	misc	mpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	1	0
76	耐力药水	vps	misc	spot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0
77	解毒药水	yps	misc	apot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	1	0
78	回复药水	rvs	misc	rpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	1	0
79	全满回复药水	rvl	misc	rpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	1	0
80	解冻药水	wms	misc	wpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0
81	回城之书	tbk	misc	book		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	1	1	20	0	0	0	0	0	0
82	鉴定之书	ibk	misc	book		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	1	1	20	0	0	0	0	0	0
83	项链	amu	misc	amul		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2400	0	0	0	0	0	0	1	0	0
84	戒指	rin	misc	ring		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1800	0	0	0	0	0	0	1	0	0
85	金币	gld	misc	gold		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5000	0	0	0	0	0	0
86	箭矢	aqv	misc	bowq		1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	1	100	350	0	0	0	0	0	0
87	火把	tch	misc	torc		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	2	10	0	0	0	0	0	0
88	弩箭	cqv	misc	xboq		1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	1	60	250	0	0	0	0	0	0
89	回城卷轴	tsc	misc	scro		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	1	0
90	鉴定卷轴	isc	misc	scro		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	1	0
91	骷髅钥匙	key	misc	key		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	1	1	12	0	0	0	0	0	0
92	玩家之耳	ear	misc	play		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	碎裂的紫水晶	gcv	misc	gema	gem0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0
94	有裂痕的紫水晶	gfv	misc	gema	gem1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0
95	紫水晶	gsv	misc	gema	gem2	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0
96	无暇的紫水晶	gzv	misc	gema	gem3	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	0	0	0
97	完美的紫水晶	gpv	misc	gema	gem4	1	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	0
98	碎裂的黄玉	gcy	misc	gemt	gem0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0
99	有裂痕的黄玉	gfy	misc	gemt	gem1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0
100	黄玉	gsy	misc	gemt	gem2	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0
101	无暇的黄玉	gly	misc	gemt	gem3	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	0	0	0
102	完美的黄玉	gpy	misc	gemt	gem4	1	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	0
103	碎裂的蓝宝石	gcb	misc	gems	gem0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0
104	有裂痕的蓝宝石	gfb	misc	gems	gem1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0
105	蓝宝石	gsb	misc	gems	gem2	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0
106	无暇的蓝宝石	glb	misc	gems	gem3	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	0	0	0
107	完美的蓝宝石	gpb	misc	gems	gem4	1	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	0
108	碎裂的绿宝石	gcg	misc	geme	gem0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0
109	有裂痕的绿宝石	gfg	misc	geme	gem1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0
110	绿宝石	gsg	misc	geme	gem2	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0
111	无暇的绿宝石	glg	misc	geme	gem3	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	0	0	0
112	完美的绿宝石	gpg	misc	geme	gem4	1	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	0
113	碎裂的红宝石	gcr	misc	gemr	gem0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0
114	有裂痕的红宝石	gfr	misc	gemr	gem1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0
115	红宝石	gsr	misc	gemr	gem2	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0
116	无暇的红宝石	glr	misc	gemr	gem3	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	0	0	0
117	完美的红宝石	gpr	misc	gemr	gem4	1	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	0
118	碎裂的钻石	gcw	misc	gemd	gem0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0
119	有裂痕的钻石	gfw	misc	gemd	gem1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1500	0	0	0	0	0	0	0	0	0
120	钻石	gsw	misc	gemd	gem2	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	0	0	0	0	0	0	0
121	无暇的钻石	glw	misc	gemd	gem3	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15000	0	0	0	0	0	0	0	0	0
122	完美的钻石	gpw	misc	gemd	gem4	1	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	0
123	微型治疗药水	hp1	misc	hpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0
124	轻型治疗药水	hp2	misc	hpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	1	0
125	治疗药水	hp3	misc	hpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	1	0
126	强力治疗药水	hp4	misc	hpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	1	0
127	高级治疗药水	hp5	misc	hpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	1	0
128	微型法力药水	mp1	misc	mpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	1	0
129	轻型法力药水	mp2	misc	mpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	1	0
130	法力药水	mp3	misc	mpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	1	0
131	强力法力药水	mp4	misc	mpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	1	0
132	高级法力药水	mp5	misc	mpot		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	1	0
133	碎裂的头骨	skc	misc	gemz	gem0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0
134	有裂痕的头骨	skf	misc	gemz	gem1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3000	0	0	0	0	0	0	0	0	0
135	头骨	sku	misc	gemz	gem2	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0
136	无暇的头骨	skl	misc	gemz	gem3	1	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	0
137	完美的头骨	skz	misc	gemz	gem4	1	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100000	0	0	0	0	0	0	0	0	0
